path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/evaluation_short/output_tsm/48k/p225_039.wav,2.2233844,2.823693,2.66228,3.0225227,3.4770749,NISQAv2
data/evaluation_short/output_tsm/48k/p225_011.wav,2.5497715,2.7915123,3.4917903,3.1599195,3.1008422,NISQAv2
data/evaluation_short/output_tsm/48k/p225_005.wav,3.1327138,3.3324099,4.106811,3.9479475,3.7472422,NISQAv2
data/evaluation_short/output_tsm/48k/p225_004.wav,3.1257014,3.0263128,4.1905994,3.9310586,3.8017228,NISQAv2
data/evaluation_short/output_tsm/48k/p225_010.wav,2.0060163,3.0774791,2.3190935,2.5805728,2.968037,NISQAv2
data/evaluation_short/output_tsm/48k/p225_038.wav,2.4400222,2.8971117,3.159537,3.097677,2.815463,NISQAv2
data/evaluation_short/output_tsm/48k/p225_006.wav,3.3024054,3.4857724,4.0488067,3.847966,3.7987096,NISQAv2
data/evaluation_short/output_tsm/48k/p225_012.wav,2.609533,2.5314925,3.5600593,3.4484591,3.6085908,NISQAv2
data/evaluation_short/output_tsm/48k/p225_013.wav,2.3380182,2.9915912,2.737265,3.219548,3.5178978,NISQAv2
data/evaluation_short/output_tsm/48k/p225_007.wav,2.9810455,3.4993575,3.3194633,3.207904,3.6297076,NISQAv2
data/evaluation_short/output_tsm/48k/p225_003.wav,2.4742057,2.2781343,3.657719,3.1632497,3.2362688,NISQAv2
data/evaluation_short/output_tsm/48k/p225_017.wav,2.2880347,2.7031243,3.254625,2.9015522,3.4048007,NISQAv2
data/evaluation_short/output_tsm/48k/p225_016.wav,2.974436,3.5173728,3.7367084,3.3856735,3.672875,NISQAv2
data/evaluation_short/output_tsm/48k/p225_002.wav,3.0556028,3.091398,4.096523,3.6016254,3.4939058,NISQAv2
data/evaluation_short/output_tsm/48k/p225_014.wav,3.1179578,3.056681,4.007768,3.7700052,3.7853227,NISQAv2
data/evaluation_short/output_tsm/48k/p225_028.wav,3.157605,2.991718,4.252403,3.8753908,3.914168,NISQAv2
data/evaluation_short/output_tsm/48k/p225_029.wav,2.286162,3.5275605,2.6265092,3.0241268,3.4690564,NISQAv2
data/evaluation_short/output_tsm/48k/p225_001.wav,2.6698596,1.9928069,4.1563454,3.6995907,3.7415721,NISQAv2
data/evaluation_short/output_tsm/48k/p225_072.wav,2.3167255,3.2837884,2.5780842,3.0164883,3.592316,NISQAv2
data/evaluation_short/output_tsm/48k/p225_066.wav,3.6467388,3.7914605,4.1885986,4.1006646,3.988161,NISQAv2
data/evaluation_short/output_tsm/48k/p225_067.wav,2.1706455,2.6456864,3.2437596,3.1291642,3.31752,NISQAv2
data/evaluation_short/output_tsm/48k/p225_073.wav,3.00221,3.335828,3.9121974,3.7589438,3.55706,NISQAv2
data/evaluation_short/output_tsm/48k/p225_059.wav,2.3915663,2.9398992,3.3670409,2.9464304,3.1998665,NISQAv2
data/evaluation_short/output_tsm/48k/p225_065.wav,2.9117584,2.519295,3.9387305,3.421628,3.7691479,NISQAv2
data/evaluation_short/output_tsm/48k/p225_071.wav,3.0346496,3.8734,4.133597,3.8211982,3.7768805,NISQAv2
data/evaluation_short/output_tsm/48k/p225_070.wav,3.0810354,3.1232853,4.338921,4.1368275,4.0854573,NISQAv2
data/evaluation_short/output_tsm/48k/p225_064.wav,3.613693,4.154094,4.1962075,3.8383546,3.9531403,NISQAv2
data/evaluation_short/output_tsm/48k/p225_058.wav,2.3738077,2.9007971,3.4764519,2.8365493,3.114073,NISQAv2
data/evaluation_short/output_tsm/48k/p225_104.wav,2.8000462,3.4714575,3.7151723,3.5242164,3.5968282,NISQAv2
data/evaluation_short/output_tsm/48k/p225_110.wav,2.6403973,2.9622715,3.4329047,3.557282,3.577385,NISQAv2
data/evaluation_short/output_tsm/48k/p225_060.wav,2.6244771,3.2898,3.5769315,3.436694,3.5426698,NISQAv2
data/evaluation_short/output_tsm/48k/p225_049.wav,3.2049785,2.900531,3.831453,3.1994011,3.161352,NISQAv2
data/evaluation_short/output_tsm/48k/p225_061.wav,2.2563813,2.6110952,2.586427,2.9362001,2.9292884,NISQAv2
data/evaluation_short/output_tsm/48k/p225_103.wav,2.5865242,2.521557,3.5789564,3.4318962,3.5283325,NISQAv2
data/evaluation_short/output_tsm/48k/p225_063.wav,2.6367366,3.108393,3.2937791,3.1742866,3.201017,NISQAv2
