path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/ps/PSOLA/rt_up/p225/p225_039.wav,1.4871807,2.7635822,2.5688584,2.338409,3.0573137,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_011.wav,1.626824,3.092789,2.0270061,2.3224132,3.0586836,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_005.wav,1.7782826,3.0908306,2.321966,2.0436623,3.1366727,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_004.wav,1.992881,2.6974182,2.401943,2.741772,3.1552832,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_010.wav,1.3893236,3.1185272,1.7968926,2.303466,2.9592865,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_038.wav,1.3794687,2.9662411,2.3411453,2.0461452,2.6801698,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_006.wav,1.4590515,2.9930022,2.07158,2.1865685,2.9427598,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_012.wav,1.9247377,2.6434848,2.4362082,1.8416611,2.8643641,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_013.wav,1.5560557,2.7103622,2.4736917,2.0916243,2.8365195,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_007.wav,1.6651574,3.220516,2.2128584,2.1735532,2.8217897,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_003.wav,1.6721078,2.9506452,2.7757165,2.2981093,2.911539,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_017.wav,1.4564823,2.8901346,2.0822277,2.0253696,2.7246664,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_016.wav,1.5994815,3.094578,2.4695313,1.8375323,2.8195074,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_002.wav,1.399177,2.9659348,2.6755002,1.7021456,2.503117,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_014.wav,1.6468086,2.8648155,2.5262885,1.5598801,2.7091606,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_028.wav,1.7493194,3.2896686,2.217014,3.0271888,2.922443,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_029.wav,1.2048675,3.111122,1.4670184,2.4425771,2.800412,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_001.wav,1.9829253,2.66644,2.8044689,1.7306359,2.654064,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_072.wav,1.5617769,3.112379,2.15217,2.5658612,2.969935,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_066.wav,1.7642616,2.7913997,2.5803537,2.8591049,2.7529008,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_067.wav,1.3667377,2.9763482,2.180804,1.7801206,2.5101001,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_073.wav,1.5541462,2.8224838,1.9153414,2.0902894,2.6307454,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_059.wav,1.4349796,2.7837224,1.8484128,2.5725753,3.1646025,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_065.wav,1.2426344,2.8468122,2.3616722,2.1107366,2.7768347,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_071.wav,1.5829631,2.7670696,1.9370589,2.4677396,3.038439,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_070.wav,1.9805511,3.0758731,2.984093,1.8895396,2.3115208,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_064.wav,1.614712,3.0720859,2.974515,2.3857846,3.0811756,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_058.wav,1.6460477,3.2589033,2.928634,1.4561334,2.4420617,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_060.wav,2.3287306,3.2331703,3.2282999,1.7818716,2.903179,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_049.wav,1.1789922,3.1242924,1.4730301,2.1239986,2.6312664,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_061.wav,1.5143827,3.2526157,2.3969576,1.5621288,2.6060455,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_063.wav,1.2167443,2.9551775,1.7024138,1.9154155,2.7107244,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_089.wav,1.4973795,3.0060427,2.480048,1.6556621,2.41666,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_062.wav,1.3385367,2.7890847,1.8701711,2.2480295,2.9474962,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_053.wav,1.113253,2.560838,2.0272367,2.063072,2.607384,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_090.wav,1.5265894,3.1278455,1.9936473,2.3560638,2.7922146,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_084.wav,1.5967476,2.802622,1.838767,2.322362,2.701337,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_046.wav,1.3960565,3.27581,1.7914882,2.3654068,3.029454,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_052.wav,1.569364,3.1876972,2.2993052,2.05611,2.8137176,NISQAv2
