path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/RES/rt_up/p225/p225_039.wav,4.5050783,4.2481985,4.649678,4.4843893,4.444711,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_011.wav,3.653457,3.6694586,3.7097726,3.7997248,3.7343862,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_005.wav,4.3691587,4.1243644,4.5434175,4.377974,4.393889,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_004.wav,4.3512764,3.7375119,4.440783,4.324593,4.379603,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_010.wav,4.368368,4.259057,4.5427704,4.2228885,4.298043,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_038.wav,3.9565525,3.871997,4.300083,4.198032,4.0932336,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_006.wav,4.2937655,4.0677204,4.3620157,4.2308207,4.351359,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_012.wav,3.522522,2.5888765,4.0145345,4.177954,4.0729394,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_013.wav,3.5938766,3.217707,3.752559,3.7790546,4.0944834,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_007.wav,4.493772,4.161609,4.6139193,4.368546,4.4591956,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_003.wav,3.9613168,3.728094,4.159767,3.9251158,3.9596097,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_017.wav,3.6575441,3.6442952,4.0926814,3.7713907,4.016653,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_016.wav,4.19098,4.0747414,4.3013883,3.9713948,4.275273,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_002.wav,3.7729435,3.3792152,4.1913366,3.681767,3.9454238,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_014.wav,3.896588,3.2851856,4.330372,4.242927,4.2130365,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_028.wav,4.1328616,3.7673109,4.3687844,4.3823524,4.3581715,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_029.wav,4.7122107,4.0140224,4.5460157,4.4049788,4.570229,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_001.wav,3.0836327,2.2827883,3.9280179,3.524317,3.675413,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_072.wav,3.5178823,3.7287462,3.5499492,3.4485252,3.9318607,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_066.wav,4.726657,4.3783407,4.642608,4.476876,4.561091,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_067.wav,4.0814137,3.8198986,4.1909103,4.171095,4.2301316,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_073.wav,4.156511,4.024048,4.5191636,4.056042,4.362737,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_059.wav,4.336935,4.1250405,4.584068,4.1946635,4.3713136,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_065.wav,4.08998,3.4506905,4.2401714,3.9063365,4.310571,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_071.wav,4.061313,3.9404523,4.4548283,4.2062807,4.290481,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_070.wav,4.387308,3.2346938,4.573212,4.3343062,4.354804,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_064.wav,4.8717017,4.5277333,4.71508,4.504058,4.6205535,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_058.wav,4.149392,3.892011,4.1968956,3.936978,4.1206064,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_060.wav,4.425611,4.2387342,4.4337173,4.3211627,4.410929,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_049.wav,4.620856,4.378089,4.6259594,4.359854,4.4158974,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_061.wav,4.246847,3.8719568,4.5130005,4.0878706,4.1750298,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_063.wav,4.0679812,4.027924,4.2284927,4.0013328,4.043321,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_089.wav,4.486771,4.3471675,4.6502495,4.378214,4.417273,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_062.wav,4.3206835,4.182795,4.527588,4.2912364,4.196533,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_053.wav,4.265785,3.9080079,4.472164,4.054395,4.372051,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_090.wav,4.224308,3.9957397,4.49719,4.358952,4.404451,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_084.wav,4.4322443,4.114011,4.491861,4.350575,4.4453464,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_046.wav,4.4851904,4.2714334,4.5731845,4.4138217,4.453028,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_052.wav,4.3453407,4.0861793,4.462096,4.3348904,4.452706,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_044.wav,3.4426897,3.6885238,3.2599342,3.6971118,3.9850228,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_092.wav,4.1006603,3.8972924,4.413718,4.2147174,4.23947,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_086.wav,2.7593906,3.5643625,2.2810242,3.2806327,3.6267068,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_051.wav,4.0748215,3.5387378,4.3825197,4.398971,4.278808,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_045.wav,4.080349,3.91586,4.39534,4.157878,4.2149105,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_082.wav,4.441039,4.244799,4.560791,4.352135,4.45454,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_083.wav,4.097287,3.886168,4.2576447,4.049559,4.3068657,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_054.wav,4.5341887,4.0598245,4.7045803,4.483994,4.4844656,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_040.wav,3.4367328,3.692368,3.7979374,3.6262438,3.9793348,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_056.wav,4.5678663,4.146572,4.3417053,4.3957872,4.4931083,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_081.wav,4.3456354,4.114754,4.4375863,4.231231,4.315005,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_094.wav,4.427254,4.2836013,4.493252,4.3143964,4.3579335,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_057.wav,4.1175604,3.9675531,4.2650633,4.187765,4.2884345,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_018.wav,4.5092554,4.199201,4.572263,4.3645372,4.4710975,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_030.wav,4.6356626,4.3011136,4.64254,4.4084573,4.547837,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_024.wav,3.9774072,3.978697,4.05339,3.7780638,3.4763281,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_025.wav,3.8295057,4.1309795,3.996647,3.7695968,3.7304428,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_019.wav,4.009161,3.992587,4.1104035,3.922086,3.9455924,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_027.wav,3.3541005,3.7859633,2.8918111,3.9957478,3.849819,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_033.wav,4.015576,3.9667914,4.2111855,4.015689,4.157908,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_026.wav,3.3941588,2.9630306,3.2140107,3.784405,3.7822397,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_022.wav,4.0645585,3.7698972,4.2389355,3.9021637,4.057814,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_036.wav,4.1521344,2.9614117,4.3884325,4.3375072,4.3650503,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_037.wav,3.6917646,3.9909625,3.8779664,3.699755,3.9776838,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_023.wav,3.2236745,2.455955,3.994035,3.8215268,3.9944677,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_035.wav,3.806576,3.9493809,3.6690366,4.0831857,4.2360044,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_021.wav,3.7714388,3.5271523,3.9666975,3.6820533,4.1367993,NISQAv2
data/output/wav48/tsm/RES/rt_up/p225/p225_009.wav,4.4560113,4.1580276,4.496171,4.297628,4.28108,NISQAv2
