path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/HPS/1.5/p225/p225_315.wav,3.0448883,3.7440255,3.9089339,3.4354875,3.5659623,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_293.wav,3.35662,2.7814085,4.2393227,3.9472003,3.9046228,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_018.wav,3.809809,3.536036,4.2827425,3.944758,4.1431775,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_071.wav,3.3518813,3.667945,3.4441497,3.3605177,3.821825,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_324.wav,2.4885445,3.9660554,2.2555318,2.9930842,3.5790303,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_222.wav,2.7602417,3.3728108,3.0460613,3.0739791,3.7014565,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_023.wav,2.8545365,2.5316546,4.0083084,3.5580995,3.7215598,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_257.wav,3.7857294,3.2557046,4.19546,3.9617848,3.9407878,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_220.wav,3.284684,3.5872443,3.757553,3.444519,3.6962466,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_040.wav,3.3436208,3.788071,4.285344,3.8364778,3.9439611,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_046.wav,3.7844243,3.8564649,4.360098,3.990307,4.0984955,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_067.wav,2.470652,2.633436,3.3886216,2.9366176,3.4599502,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_191.wav,3.5402458,2.9267156,4.3610115,4.229461,4.1131673,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_169.wav,3.2822874,3.2265744,3.9527931,3.7557921,3.7507524,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_298.wav,3.7360053,4.148062,4.164326,3.9730616,4.130613,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_150.wav,2.758793,2.9902785,4.1030874,3.7058823,3.497195,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_059.wav,3.1584337,3.2224295,3.9203706,3.27772,3.6965134,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_238.wav,3.078866,2.949801,3.936463,4.066912,3.7504363,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_300.wav,3.8528106,4.049788,4.2776184,3.9620826,4.122697,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_038.wav,3.141562,3.2412467,4.1343107,3.8853908,3.7793133,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_004.wav,3.2212265,3.0783787,3.93444,3.8770437,3.9077637,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_172.wav,4.104797,4.1250095,4.3416843,4.2126107,4.1494713,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_058.wav,2.4985418,2.989773,3.2293794,2.6392171,3.1186817,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_212.wav,2.6108081,2.9249237,3.1279025,3.4021037,3.5590608,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_072.wav,2.240525,3.0972092,2.836993,3.1540825,3.8135538,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_171.wav,3.249452,3.40587,4.2357445,3.8232567,3.6645367,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_014.wav,3.3537133,3.1571808,4.090565,3.922524,3.9844162,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_177.wav,2.435784,3.1476836,3.0089417,2.65325,3.3299444,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_141.wav,4.0978317,3.7576,4.6019554,4.2856135,4.3247156,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_092.wav,2.9818509,2.8054297,3.984026,3.474408,3.474698,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_310.wav,4.1358323,3.7665918,4.5123363,4.2883186,4.2405562,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_011.wav,2.9676454,2.7417505,3.6651037,3.2355149,3.6655629,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_200.wav,1.6030158,3.483114,2.2177951,2.6960318,3.4366212,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_114.wav,3.7274659,3.59539,4.049266,3.6675208,3.936958,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_355.wav,2.5519164,3.485087,2.4893491,3.1149352,3.6580842,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_003.wav,2.56649,2.3994305,3.127729,2.8615785,3.3917477,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_121.wav,3.2154667,3.637164,4.2614,3.9076514,3.996138,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_094.wav,3.300144,3.055836,4.1167893,3.6126664,3.79873,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_349.wav,4.01898,3.4709222,4.3301296,4.133305,4.2228074,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_176.wav,4.0420094,3.0928104,4.450266,4.26755,4.1628833,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_173.wav,3.3963063,3.003524,4.234337,3.9314373,3.8735611,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_350.wav,3.9363458,3.8255115,4.535451,4.211122,4.148455,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_275.wav,3.6342602,3.8595588,4.08769,3.6493807,3.8572757,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_334.wav,3.929691,4.1516376,4.143244,3.776382,3.9218686,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_045.wav,3.48292,3.413587,4.0243335,3.6025589,3.839777,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_165.wav,3.0157573,2.6737669,4.0201173,3.6524987,3.5840518,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_282.wav,2.3696249,3.7268705,2.6004395,2.6665957,3.709193,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_264.wav,2.473733,3.3028939,2.668704,2.9469662,3.5051904,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_127.wav,4.216185,4.4227543,4.4762616,4.084436,4.2177076,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_051.wav,3.1387188,2.8616664,3.827944,3.8125355,3.8942785,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_002.wav,3.227966,3.0750182,4.075931,3.5895383,3.7429206,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_153.wav,3.060622,3.5354636,4.147726,3.647012,3.6910055,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_299.wav,2.3389552,3.4857566,2.5440063,2.7190425,3.5201285,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_201.wav,3.2206972,3.3234255,4.0399704,3.8014376,3.7548952,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_104.wav,3.728425,3.3429675,4.370002,4.1464343,4.0492916,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_358.wav,3.581021,3.8865612,4.080498,3.6273448,3.8875701,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_022.wav,3.215223,3.0737088,3.9486363,3.1157076,3.618485,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_005.wav,3.5826993,3.641672,4.295786,4.1132793,4.0462904,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_290.wav,3.388042,2.8076546,4.0237155,3.7358418,3.6984751,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_254.wav,3.9691434,3.3825853,4.443619,4.152475,4.132857,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_057.wav,3.1233163,2.8737986,3.9536402,3.7454116,3.7684746,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_322.wav,2.5997913,3.0389864,2.6287541,3.1445992,3.6288571,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_116.wav,2.7078931,3.5346367,2.7176495,3.2737892,3.6247604,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_286.wav,3.9906642,4.1298056,4.388154,4.0757027,4.0444365,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_123.wav,3.9062743,4.022086,4.375986,4.183166,4.121549,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_265.wav,3.2102525,2.7153747,3.8900595,3.8596334,3.8472188,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_348.wav,2.5914462,3.5727367,3.5343072,3.0778642,3.209537,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_356.wav,2.642667,3.2486527,3.095752,3.101003,3.584214,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_277.wav,3.7205057,3.1434345,4.328275,3.8620017,3.9577804,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_065.wav,3.0103934,2.6086123,4.0494065,3.6241124,3.7071722,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_192.wav,3.3606806,3.3024442,4.2372694,3.7827828,3.8795328,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_225.wav,3.453636,3.5667458,4.25259,3.7121968,3.8342578,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_210.wav,3.6754954,3.269519,4.346619,3.9939737,4.084622,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_224.wav,2.455197,3.0310261,3.0079665,3.1257136,3.1945853,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_128.wav,3.4977672,4.1345577,4.1196027,3.5567014,3.7910962,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_049.wav,3.458504,3.3373225,4.133297,3.679042,3.8037312,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_008.wav,3.1044843,3.8988998,3.3888686,3.4677067,3.9072373,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_239.wav,2.8852227,2.9364135,3.6820142,3.1697235,3.7511396,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_145.wav,3.8209565,3.897816,4.3975277,4.031816,4.041015,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_331.wav,2.9812777,3.7025096,3.0005147,3.4592555,3.6873472,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_366.wav,3.668115,3.096028,4.306527,4.12793,4.084882,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_122.wav,3.5546863,3.7023435,4.230667,3.937298,3.899319,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_029.wav,3.7041621,3.4428604,4.194911,3.8690817,4.12448,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_026.wav,3.1535103,2.9607654,4.2793093,4.192557,3.999171,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_211.wav,2.7759604,3.611233,2.66778,3.282974,3.5166214,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_208.wav,3.2509592,3.4829648,3.796325,3.8424456,3.8284764,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_335.wav,3.7489803,3.8170516,4.1566186,3.916313,3.9639573,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_120.wav,3.7277374,3.5123174,4.3842936,4.1252904,4.1365004,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_158.wav,3.4548497,3.5933297,4.2180805,3.8400753,3.747497,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_066.wav,4.1886444,3.8058214,4.2730355,4.278709,4.2480617,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_117.wav,2.5340905,3.4226015,2.786841,3.090638,3.6763709,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_089.wav,3.6122239,3.8025875,4.2505407,3.8881924,3.8733978,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_312.wav,4.0331173,3.760548,4.4362473,4.246131,4.1677814,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_086.wav,2.3541572,3.0340967,2.2291722,2.877136,3.573499,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_241.wav,2.802936,2.9859169,3.302988,3.4147878,3.7651944,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_012.wav,3.0619493,2.519515,4.081946,4.0276513,3.9438164,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_175.wav,3.9154685,3.779566,4.483379,4.249678,4.217198,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_017.wav,2.4158013,2.816645,2.7394826,2.8119256,3.5517566,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_142.wav,2.3257132,3.7680767,2.498522,2.9241745,3.6480973,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_028.wav,2.3807757,2.8569376,2.589978,3.2043357,3.650851,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_276.wav,3.382881,3.349146,3.7977622,3.6635878,3.854585,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_309.wav,2.9971137,3.6434486,3.6380248,3.5652416,3.4867237,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_329.wav,4.0342484,3.6998966,4.3735366,4.165982,4.226497,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_295.wav,2.393247,3.0712793,3.0387235,3.2579374,3.6438277,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_056.wav,3.3347414,3.671775,3.7092888,3.581457,3.818917,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_281.wav,2.5350375,3.6848567,2.9366348,3.3154004,3.7826133,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_007.wav,3.7787144,3.8745654,4.3954573,4.121385,4.111165,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_110.wav,3.0080218,2.939037,3.6887,3.5873044,3.5437317,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_073.wav,3.671903,3.4679627,4.2242656,4.06009,3.9954016,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_195.wav,3.1416495,3.0904777,4.0487905,3.755067,3.581116,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_193.wav,3.7400236,3.8410583,4.286455,3.8488948,3.9443274,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_297.wav,3.0325162,3.640856,3.2262967,3.3131878,3.7099698,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_218.wav,3.9168282,4.051003,4.427204,3.969729,4.147673,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_242.wav,3.133943,2.8093517,4.1541433,3.83142,3.7043076,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_136.wav,2.6981993,3.8741224,3.633119,3.0881,3.7059803,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_021.wav,3.2096815,2.938265,3.7094507,3.3716938,3.8493881,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_024.wav,2.692727,2.884743,3.3748398,2.8884103,2.876856,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_025.wav,2.7957747,3.6087263,3.485943,3.2758214,3.6012528,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_332.wav,3.0192165,3.1454904,3.2307954,3.2184896,3.6089077,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_347.wav,3.7996833,2.760956,4.4126625,4.2236447,4.2451234,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_182.wav,3.3795614,3.603908,3.537,3.4746482,3.638296,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_039.wav,3.1314828,3.1971543,3.7595453,3.703163,3.764526,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_323.wav,3.6551993,3.532417,4.4319553,3.8915212,3.8329175,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_081.wav,3.343014,3.294255,3.9894598,3.1888533,3.6814191,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_064.wav,3.785671,4.2298713,3.5744514,3.748016,4.026301,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_258.wav,2.709889,3.4531434,2.6700807,3.4907014,3.6589928,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_274.wav,3.8890352,3.9895446,4.259488,3.9815123,4.030493,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_118.wav,3.2267094,2.63456,4.2066107,3.786218,3.914655,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_196.wav,2.7821715,3.2574227,3.3916194,3.256989,3.435468,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_285.wav,3.0670364,3.4809582,3.7078571,3.5077589,3.586683,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_143.wav,3.3598468,3.4953456,4.178569,3.9362123,3.8113818,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_280.wav,3.393356,2.8047397,4.278175,4.1918926,3.9842694,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_147.wav,3.516927,3.3091524,4.2523565,3.915367,3.8122175,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_001.wav,2.9513733,2.4781528,4.0512533,3.7597334,3.9107287,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_082.wav,3.0341508,3.411592,3.5595012,3.4789627,3.7335575,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_243.wav,3.1658788,3.1636498,3.862873,3.8708513,3.8227136,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_237.wav,3.1719363,3.299138,3.840462,3.548502,3.8389535,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_296.wav,2.9175136,3.55674,3.3393662,3.7638972,3.7212195,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_202.wav,3.9344854,3.8397949,4.3432713,4.0058637,4.1352925,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_328.wav,2.1144164,3.0579302,2.8736577,2.8671327,3.215119,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_131.wav,3.6227212,4.081767,4.0897493,3.476755,3.9288807,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_151.wav,3.4224179,3.5279515,4.331523,3.4872673,3.783211,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_036.wav,3.4860559,3.3127315,3.8844905,3.9631348,4.098352,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_090.wav,3.2021215,3.3059132,4.148795,3.795014,3.7491674,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_319.wav,3.1542935,2.971042,3.7295978,3.7484055,3.5553677,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_197.wav,3.9277446,2.963965,4.4669003,4.289915,4.226155,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_316.wav,3.5738685,3.6842759,4.069262,3.5348566,3.725316,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_027.wav,2.480656,2.9690163,3.2620256,2.643088,3.1203372,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_287.wav,3.52502,3.0570982,4.1073875,3.7481632,3.825539,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_053.wav,3.2519891,2.772412,4.2571645,3.64686,3.9162946,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_133.wav,2.9369824,3.4383905,3.8370614,3.203757,3.6032617,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_301.wav,4.003562,3.9800327,4.5155206,4.3089433,4.2654386,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_044.wav,2.1073225,2.9760969,2.198355,2.8018854,3.3006487,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_033.wav,2.2625835,2.9223611,2.3930004,2.7541745,3.4155145,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_354.wav,3.347366,2.9885855,4.0755696,3.8963473,3.6774533,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_054.wav,3.6371315,3.5124698,4.4140797,4.3381796,4.2760644,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_223.wav,2.3150403,3.5639658,2.5241768,2.7813103,3.4755223,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_111.wav,2.8738582,3.8257253,3.2365525,3.3292346,3.5282915,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_010.wav,3.2287097,3.3341825,4.083001,3.5045416,3.775369,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_083.wav,2.8162646,3.2171338,3.6264117,3.282367,3.6755922,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_302.wav,3.9764733,3.205096,4.4939127,4.191912,4.136347,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_337.wav,3.2485673,3.3443067,3.8919122,3.644789,3.5489376,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_221.wav,2.7245216,3.1974175,3.6053054,3.1563807,3.49406,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_157.wav,3.3411634,3.1083899,4.439805,4.1215625,4.0888467,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_006.wav,3.0402095,3.660812,3.3420613,3.367153,3.7032614,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_156.wav,3.5552034,3.136172,4.3635516,3.8605392,3.8014534,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_359.wav,1.7622613,3.5287664,1.8533158,2.5729854,3.2837985,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_159.wav,3.3445203,3.8300307,4.0572095,3.7006214,3.6998928,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_303.wav,3.9868085,3.6073968,4.459015,4.133864,4.171418,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_109.wav,2.4642663,3.047034,2.9954412,3.0829542,3.4923265,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_113.wav,3.2521145,3.1801052,4.222176,3.8223684,3.779406,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_037.wav,2.4038248,2.9741457,2.7539217,2.8612595,3.4588034,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_268.wav,2.5600734,3.0299428,2.508382,2.846767,3.4727614,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_152.wav,2.9633117,3.1970007,4.2063274,3.676459,3.793707,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_062.wav,3.0663717,3.1252272,4.0952487,3.632624,3.6936605,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_352.wav,3.587329,3.4760323,4.2987127,4.0209017,3.9447684,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_149.wav,3.6475887,3.7582774,4.271623,3.8683906,3.9220304,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_126.wav,3.5134208,3.0288734,4.341263,4.141969,4.1217628,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_253.wav,2.877611,3.1481578,3.1658297,3.2311199,3.654036,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_248.wav,2.2427948,2.5013888,2.065005,2.7508795,3.3915212,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_236.wav,3.2486129,3.0887635,4.1528893,3.828028,3.7710097,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_219.wav,3.5593343,3.8296926,4.3071904,3.7729788,3.835266,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_365.wav,2.8444388,3.6010158,3.46133,3.3232858,3.4696624,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_266.wav,3.6847935,4.141296,4.139527,3.7933984,3.9518054,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_052.wav,3.7553778,3.4986207,4.2295547,3.9603539,4.0469913,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_124.wav,3.6170123,3.808822,3.8544006,3.7987874,3.9810135,NISQAv2
data/output/wav48/tsm/HPS/1.5/p225/p225_273.wav,3.4555686,3.2215583,4.178487,3.6981387,3.694375,NISQAv2
