path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/HPS/2/p225/p225_315.wav,2.4115012,3.6107066,3.4884965,2.8877752,3.3439252,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_293.wav,3.015196,2.8291252,3.9223418,3.5475109,3.7912219,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_018.wav,2.9396129,3.685197,3.3077157,3.5580938,3.8125422,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_071.wav,3.0346484,3.8733995,4.1335974,3.8211992,3.7768817,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_324.wav,3.1939514,4.008742,2.7117476,3.362922,3.8077605,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_222.wav,3.1838663,3.6029117,3.8825517,3.7194114,3.8044937,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_023.wav,2.4167068,2.326927,3.8727982,3.3154762,3.5442197,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_257.wav,3.50865,3.6604111,4.135144,3.9723709,3.6699116,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_220.wav,3.493612,3.9340465,4.2933397,3.9568698,3.8516219,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_040.wav,2.6269038,3.4419048,3.2749963,3.0884445,3.465225,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_046.wav,3.4049003,3.840031,4.195245,3.8382325,3.8599234,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_067.wav,2.1706479,2.6456866,3.2437644,3.1291668,3.31752,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_191.wav,3.0427988,2.9365072,4.070927,3.8297892,3.8756754,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_169.wav,2.9046056,3.0033498,3.8955076,3.7739453,3.5076149,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_298.wav,3.2620065,3.993741,3.6509426,3.560523,3.9508672,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_150.wav,2.5038664,3.000578,3.7606497,3.7044017,3.484511,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_059.wav,2.391569,2.9398997,3.3670447,2.946432,3.1998663,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_238.wav,2.7525032,2.9178627,4.016634,3.918409,3.7739105,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_300.wav,3.1022363,3.9475973,3.8668764,3.0840447,3.5705051,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_038.wav,2.4400218,2.8971117,3.1595361,3.0976765,2.8154635,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_004.wav,3.1257007,3.0263107,4.1905994,3.9310594,3.8017223,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_172.wav,4.0920777,4.1258936,4.2617445,3.9640617,4.1046195,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_058.wav,2.3738084,2.900797,3.4764535,2.8365483,3.1140711,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_212.wav,2.2394543,2.978616,2.4511683,2.9838378,3.2587595,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_072.wav,2.316725,3.2837892,2.578083,3.0164871,3.592316,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_171.wav,3.0964568,3.7993648,4.0425305,3.7403326,3.317053,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_014.wav,3.1179569,3.05668,4.0077677,3.7700052,3.785323,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_177.wav,2.2876081,3.3085506,3.1635492,2.9323707,3.4186897,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_141.wav,3.3203871,3.5507967,4.345957,3.919819,4.068341,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_092.wav,2.6351216,3.0608573,3.8094082,3.4578784,3.4079766,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_310.wav,3.024412,3.7951362,3.277337,3.1435082,3.5780613,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_011.wav,2.54977,2.7915103,3.4917896,3.1599185,3.1008422,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_200.wav,2.0298529,3.4292378,2.4454436,2.5789077,3.2854266,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_114.wav,3.6035671,3.3971033,3.9342616,3.5941775,3.4849393,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_355.wav,3.0440078,3.506182,3.629279,3.519069,3.6605299,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_003.wav,2.4742057,2.2781348,3.6577184,3.1632502,3.236269,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_121.wav,3.083782,3.4791467,4.199622,3.557068,3.8700154,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_094.wav,2.0791285,3.5861738,2.705532,2.5907252,3.4844213,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_349.wav,3.4777296,3.329932,4.021098,3.6471786,3.6166008,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_176.wav,3.4162424,3.7789805,4.2817955,4.010949,3.922478,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_173.wav,2.939887,2.9074957,4.0159435,3.8081234,3.5901892,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_350.wav,3.453656,3.3015146,4.2723694,4.0084667,3.8725715,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_275.wav,2.8762167,3.7970572,3.1095908,2.9981506,3.5760558,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_334.wav,3.6801946,3.962683,4.010545,3.645027,3.880965,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_045.wav,2.8167322,3.3049016,3.5450375,3.596142,3.5417285,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_165.wav,2.0569308,2.7711701,2.413392,2.684018,3.2573504,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_282.wav,2.155712,3.6279151,2.3618286,2.493774,3.6262276,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_264.wav,2.582895,3.3855817,2.927473,3.1114204,3.3321602,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_127.wav,3.745189,4.351991,4.327673,3.7839005,3.9390256,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_051.wav,2.124828,3.0210516,2.5600579,2.9763582,3.4622235,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_002.wav,3.0556035,3.091397,4.0965247,3.6016266,3.49391,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_153.wav,2.6489034,3.6085746,3.3425562,3.2476661,3.4944265,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_299.wav,2.3257744,3.3941798,2.4108403,3.0075662,3.5014288,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_201.wav,2.7541702,3.18389,3.6781754,3.58612,3.5694473,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_104.wav,2.800046,3.4714568,3.7151728,3.5242174,3.596829,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_358.wav,2.1663642,3.5967531,2.4465785,2.7828948,3.4268506,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_022.wav,2.886769,2.7583368,3.803394,3.097744,3.4437978,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_005.wav,3.132713,3.3324094,4.1068106,3.9479468,3.7472417,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_290.wav,2.9990797,3.1081011,3.8274653,3.524727,3.5265753,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_254.wav,2.9017007,3.6549058,3.18491,3.3413785,3.6238925,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_057.wav,2.257283,2.6058457,3.0950475,2.9014611,3.2331424,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_322.wav,2.6273541,3.1296458,2.8598256,3.3146696,3.6587489,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_116.wav,2.4831312,3.4144177,3.1084545,3.2512412,3.5860672,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_286.wav,3.8923535,4.1334586,4.4295297,4.156734,4.0437493,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_123.wav,3.5671966,3.818985,4.192487,4.0162024,3.8617847,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_265.wav,2.5393708,3.3897555,3.2892401,3.109068,3.3891895,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_348.wav,1.9480724,3.2154648,2.599356,2.725503,2.8452048,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_356.wav,2.3881583,3.4624794,2.8758984,2.8585498,3.4367177,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_277.wav,3.3418782,3.636,4.0686173,3.5649922,3.7362106,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_065.wav,2.9117577,2.519295,3.9387286,3.4216263,3.769147,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_192.wav,3.0622125,3.2150238,4.0255384,3.7394547,3.7886908,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_225.wav,3.3640792,3.596804,4.272275,3.9105017,3.9281101,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_210.wav,3.0730202,3.8797424,3.7713368,3.3673844,3.7990599,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_224.wav,2.5119894,2.91592,3.3412507,3.297211,3.1404188,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_128.wav,2.9640296,3.597129,3.8262641,3.3655508,3.4961994,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_049.wav,3.20498,2.900532,3.8314545,3.1994016,3.1613543,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_008.wav,2.7031367,3.771559,3.1111138,3.2941277,3.7413094,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_239.wav,2.7674718,2.6217034,3.5490088,3.5587885,3.5569556,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_145.wav,3.5531194,3.83635,4.413477,3.98581,4.0172353,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_331.wav,3.1589181,3.572694,4.089579,3.6329393,3.6335485,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_366.wav,3.6034362,3.2650971,4.268923,3.9952495,3.9345481,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_122.wav,3.443226,3.6234515,4.370759,3.913267,4.0126233,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_029.wav,2.286164,3.5275605,2.6265128,3.0241296,3.4690564,NISQAv2
data/output/wav48/tsm/HPS/2/p225/p225_026.wav,2.502982,2.9020245,2.366162,3.0726762,3.6299624,NISQAv2
