path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/HPS/rt_up/p225/p225_315.wav,2.1529045,3.455067,2.739485,2.8171194,3.4707067,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_293.wav,3.7513783,2.9912832,4.311861,4.1270137,4.1098986,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_018.wav,3.946912,3.9108374,4.226716,4.0019364,4.114578,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_071.wav,2.4717515,3.8161159,2.4143057,2.6073318,3.4915507,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_324.wav,3.3369017,3.9232547,3.4885898,3.4598143,3.8753235,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_222.wav,3.5053673,3.592529,3.8985527,4.0132303,4.1010084,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_023.wav,2.9302523,2.475564,3.969916,3.3890955,3.7154102,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_257.wav,3.4426587,3.7483358,4.2388153,3.8164904,3.9801326,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_220.wav,3.9773686,3.9626367,4.433044,4.0984015,3.9797642,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_040.wav,3.3064888,3.6236703,3.9784443,3.5774453,3.8168833,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_046.wav,4.033924,4.145706,4.4588437,4.158744,4.2218738,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_067.wav,3.0878003,3.100205,3.9817226,3.8411815,3.7456934,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_191.wav,3.762625,3.7795177,4.3955774,4.3110385,4.1837373,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_169.wav,3.6599944,3.7325811,4.2134933,3.9459865,3.8507926,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_298.wav,3.6495693,4.3417807,3.944241,4.086821,4.184026,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_150.wav,3.4376862,3.6706889,4.2908688,4.0918956,3.8451388,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_059.wav,2.9229689,3.3908112,3.5283601,3.4370835,3.8456879,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_238.wav,3.3348358,2.9840882,3.862313,3.8536274,3.8910816,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_300.wav,3.7104216,4.174206,4.00632,3.660852,4.0079145,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_038.wav,2.1373289,3.4964077,2.462338,2.8720338,3.3129683,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_004.wav,3.9186018,3.3225658,4.4268546,4.1575685,4.0820565,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_172.wav,3.7870471,4.021919,3.7878616,4.153649,4.077907,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_058.wav,2.9996247,3.111843,3.5895827,2.8504236,3.425277,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_212.wav,3.5150917,3.089572,4.3072376,4.027309,3.9780357,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_072.wav,2.01912,3.730965,2.1865013,2.9095905,3.5751832,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_171.wav,3.7675714,3.9583085,4.356775,4.0394917,3.8021448,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_014.wav,3.7332532,3.258337,4.363543,4.190389,4.1875076,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_177.wav,3.801101,3.5901914,4.300102,3.94992,3.9914153,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_141.wav,4.1274285,3.9174144,4.575692,4.3445506,4.43467,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_092.wav,3.5543768,3.575439,4.277549,3.926608,3.9229765,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_310.wav,3.9085207,3.8361428,4.297958,3.9431756,3.9439638,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_011.wav,2.833266,3.1243963,3.1337159,2.9710405,3.4742546,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_200.wav,2.1580637,3.4587264,2.685735,3.1206844,3.5105796,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_114.wav,3.5308816,3.5225854,3.7311401,3.441734,3.4653964,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_355.wav,3.5786278,3.5318491,4.009436,3.8419023,3.9393015,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_003.wav,3.2768762,2.8875072,3.9539855,3.3909004,3.912016,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_121.wav,3.8090627,3.7218802,4.274384,4.0134225,3.9649003,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_094.wav,3.746981,4.281216,3.0959964,3.648009,4.005953,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_349.wav,2.020902,3.6080208,2.1241848,2.5419536,3.275196,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_176.wav,4.515176,3.6660635,4.5585876,4.3570304,4.3763757,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_173.wav,3.1554096,3.160486,4.0115147,3.6734111,3.518957,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_350.wav,4.0133142,4.0415926,4.2544518,4.041239,3.9796655,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_275.wav,3.8558097,3.8489423,4.247134,3.8248985,3.994879,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_334.wav,3.7414749,4.123833,3.9629412,3.814007,4.0969224,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_045.wav,3.9130151,3.7464974,4.369114,4.0751424,4.097096,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_165.wav,2.8588398,2.7068484,3.5911093,3.4033859,3.3285122,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_282.wav,2.5612676,3.818133,3.2944295,2.9686809,3.6454952,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_264.wav,3.6154613,3.381279,4.2783923,3.9189446,3.836341,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_127.wav,4.138814,4.3572354,4.413025,4.0970855,4.1110973,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_051.wav,3.5151918,3.231734,3.9168928,3.7057,3.9174657,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_002.wav,3.1862888,3.373689,3.6022527,3.1966388,3.7961907,NISQAv2
data/output/wav48/tsm/HPS/rt_up/p225/p225_153.wav,3.7747262,3.5854104,4.2547235,3.847037,4.0075984,NISQAv2
