path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/ps/LibrosaPS/-12/p225/p225_315.wav,2.5559971,3.2132409,3.5597484,3.0175784,2.4760826,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_293.wav,3.2280242,3.0505998,4.097343,3.6842134,3.6806576,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_018.wav,3.106603,3.445331,4.071294,3.2512333,3.8015778,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_071.wav,2.9220865,3.5865555,4.0380116,3.3940651,3.202763,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_324.wav,2.1671567,3.2595875,3.5281942,2.7603052,3.005955,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_222.wav,2.8642733,3.6177976,3.961478,3.2424593,3.6622555,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_023.wav,2.4035575,2.2914863,3.8077018,3.0019948,3.288254,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_257.wav,3.4911227,3.0195906,3.8123538,3.6860194,3.3749406,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_220.wav,2.124296,3.3160832,2.6211576,2.6353207,2.7340586,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_040.wav,2.3298192,3.4279883,3.136921,3.00974,3.1974688,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_046.wav,2.9318259,3.2657533,3.8860695,3.3056257,3.4404256,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_067.wav,2.6102161,2.972418,3.825042,2.9801345,3.4374328,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_191.wav,2.7833846,2.5671108,4.0412436,3.5724201,3.4574237,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_169.wav,3.139011,3.3125763,3.9582942,3.5856338,3.4119093,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_298.wav,2.2272136,3.3862965,3.3793824,2.4158351,2.7038896,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_150.wav,1.9785691,2.8135655,2.6499598,2.3921223,2.8474047,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_059.wav,2.0497916,3.3698072,2.9655135,2.382826,2.9400249,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_238.wav,2.9438426,3.7242832,3.9760034,3.2322226,3.4901133,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_300.wav,1.9198568,3.1845605,3.6225636,2.2981987,3.2179184,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_038.wav,2.8134668,2.8398874,3.8344233,3.366745,3.1833212,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_004.wav,2.452014,2.5678794,3.4983895,2.4655125,3.3095126,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_172.wav,3.365538,3.588862,4.1836743,3.8475928,3.926042,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_058.wav,2.6923172,3.1190526,3.599202,3.2635815,3.0703928,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_212.wav,2.3051922,2.5769608,3.8902197,2.9355218,2.973034,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_072.wav,2.7975118,3.8240163,3.1093695,3.1154177,3.5351777,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_171.wav,2.5653763,3.3354528,3.317202,2.8148415,2.694199,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_014.wav,2.541178,2.5514522,3.445372,2.5979524,3.4523308,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_177.wav,3.175246,3.433561,4.0012293,3.4170575,3.5294921,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_141.wav,2.9534662,3.1096833,3.9949393,3.2637215,3.5894809,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_092.wav,2.154249,2.7273088,3.403453,2.7701507,3.0381072,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_310.wav,2.3467948,3.5080059,3.272282,2.804508,2.7080016,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_011.wav,2.6742077,2.5882566,3.8873909,3.1464257,3.6616654,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_200.wav,2.3114736,3.025516,3.54747,2.7155688,3.4707515,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_114.wav,3.503739,3.5576766,4.1522837,3.6844497,3.9762456,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_355.wav,3.0474398,3.0230134,4.0000486,3.4639008,3.308572,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_003.wav,2.5260122,2.2105367,4.1960945,3.366391,3.569607,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_121.wav,2.9211109,3.7992933,3.907606,3.2029684,3.4007492,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_094.wav,2.6564372,3.3718352,3.7759898,3.1545453,3.4706352,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_349.wav,1.9175147,3.3427565,3.6973355,3.1972692,3.4498227,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_176.wav,2.5722773,3.6504164,3.5582237,2.910238,2.8563647,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_173.wav,3.3102136,3.8387115,4.0368896,3.5515733,3.625359,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_350.wav,2.8885748,3.1457794,3.876163,3.3905878,3.5848577,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_275.wav,2.6366007,2.9768765,3.7795131,2.9582186,2.9235842,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_334.wav,2.6020982,3.5016606,3.862315,2.9645636,3.0458815,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_045.wav,2.5079808,3.100694,3.5777335,3.3191893,3.3008735,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_165.wav,2.599743,2.6911678,3.7873955,3.0033305,3.0732844,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_282.wav,2.5374568,3.2415054,3.5978572,2.7993667,2.9622586,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_264.wav,2.9946742,3.3552673,3.9358356,3.2980654,3.3099039,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_127.wav,3.3581212,4.142284,3.961641,2.9970827,2.9207213,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_051.wav,2.5988858,3.7028172,3.6676338,2.3866649,2.7880309,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_002.wav,2.9389708,3.1584895,4.153123,3.7389886,3.8359177,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_153.wav,1.7061763,3.2078583,2.0896208,2.2307694,2.8374972,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_299.wav,2.7284985,3.3797119,3.4974945,2.999184,3.0599408,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_201.wav,2.7489073,3.0642498,3.5774329,3.4833214,3.2911115,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_104.wav,2.2641664,3.3794084,3.5676453,2.91823,3.1055057,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_358.wav,2.393224,3.4138901,3.6408303,2.4218946,3.002512,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_022.wav,2.5847816,2.6634152,3.7774045,3.1048894,3.398013,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_005.wav,2.5507388,2.726422,4.0229297,3.4771373,3.6232636,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_290.wav,2.1159391,3.1248894,2.9107323,2.2964609,2.6202357,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_254.wav,2.5800762,3.2662237,3.638204,2.8299973,3.0647519,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_057.wav,2.7598963,3.303161,3.6306202,3.1919997,2.7939906,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_322.wav,2.5794704,3.0397694,3.8178196,3.2076094,2.8681498,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_116.wav,2.4335918,3.2630053,3.6224656,2.8840797,3.2440279,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_286.wav,2.7021818,3.618191,3.8554974,2.7850626,3.2171896,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_123.wav,2.2782347,3.5404143,3.8138237,2.4974058,2.926348,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_265.wav,2.6480668,2.6704953,3.013747,2.758258,2.4306047,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_348.wav,2.8577907,3.1824486,3.8646839,2.9272602,3.454216,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_356.wav,2.9652154,3.1932995,3.5918202,3.2585113,3.4290173,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_277.wav,2.2988946,2.8217762,2.5546365,2.6481292,3.1021163,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_065.wav,2.9674764,2.932092,3.8867755,3.3266327,3.85807,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_192.wav,3.3096983,3.6312625,4.2775354,3.599779,3.8303456,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_225.wav,2.7433107,3.4348283,3.3308904,2.9957912,3.2992222,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_210.wav,3.7757695,3.5620272,3.6952772,3.8762734,3.5491753,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_224.wav,2.2524269,2.8676002,2.9108613,2.5641413,3.2648175,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_128.wav,1.778932,2.9767344,2.9033008,2.1205308,2.5475767,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_049.wav,2.3960667,2.7705092,3.825649,2.9912946,3.277294,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_008.wav,3.0237157,3.7384126,3.9738176,3.4027128,3.7280684,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_239.wav,2.262879,2.6109517,3.7426186,3.1049087,3.1651723,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_145.wav,3.2337954,3.6381125,3.9590394,3.2682855,3.829292,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_331.wav,2.7495704,3.257941,3.8343937,3.1906126,3.3058062,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_366.wav,2.5838192,2.7072217,3.7129514,2.8479784,3.156305,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_122.wav,2.3873947,3.7376337,4.001729,2.564731,3.5835836,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_029.wav,2.8123639,3.83509,3.3623354,2.7896745,3.4032028,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_026.wav,2.8300974,2.4954803,4.1417227,3.803326,3.5744712,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_211.wav,2.6114957,3.092676,3.3027086,2.873866,3.5834246,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_208.wav,1.5692438,2.9952776,2.3265045,2.0589945,3.2680075,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_335.wav,2.5372488,3.2180789,3.5620859,3.2144578,3.0279927,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_120.wav,3.3680298,3.945305,4.135497,3.0251613,3.6022394,NISQAv2
data/output/wav48/ps/LibrosaPS/-12/p225/p225_158.wav,3.3042188,3.4930131,4.092699,3.5738928,3.611274,NISQAv2
