path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/ps/NMPS/-12/p225/p225_315.wav,3.5143862,3.9986467,3.930742,3.3797998,3.353206,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_293.wav,2.4421847,3.289889,3.9886956,3.0921617,3.3588755,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_018.wav,3.4816988,3.8571832,4.049103,3.6498904,4.050456,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_071.wav,2.1716824,3.4524086,3.977596,3.1332877,3.6291192,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_324.wav,1.7507435,3.0528405,3.392264,2.6589944,2.8192482,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_222.wav,3.7425115,4.1544523,4.2146845,4.071695,4.177528,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_023.wav,3.0085225,3.734476,3.5769413,3.2666972,3.7446034,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_257.wav,3.3517742,4.1388154,4.0620804,3.0148947,3.4993553,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_220.wav,2.726082,3.8330305,3.3885043,3.1248138,2.9439166,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_040.wav,1.2852441,3.3759873,1.7240365,2.2626565,3.4349,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_046.wav,2.2771719,3.7152917,3.246802,2.7450805,3.0997965,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_067.wav,2.7486022,3.9597256,2.8925335,3.5600183,3.8442914,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_191.wav,2.9627454,3.3816905,3.8780096,3.4984124,3.422706,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_169.wav,3.4440405,3.7655723,4.310449,3.8714066,3.659589,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_298.wav,3.5249088,4.1427407,4.2811375,3.657756,3.101265,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_150.wav,3.2228975,3.773793,3.62577,3.5552695,3.6009266,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_059.wav,2.929052,3.9342916,3.317512,3.3837128,3.6415017,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_238.wav,2.5198057,3.6776335,3.0419796,2.9548519,3.665899,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_300.wav,2.7036865,3.383613,3.8106363,3.3573914,3.4033694,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_038.wav,2.406659,3.24172,2.5685275,2.727306,3.4068627,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_004.wav,3.1923826,3.9269695,3.690294,3.2790258,3.5487902,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_172.wav,2.826893,3.714029,4.109518,2.9205396,2.8879128,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_058.wav,3.5505118,3.9903226,4.1960444,3.9045188,4.096013,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_212.wav,2.7711709,3.5794623,3.4458516,3.1399302,3.35553,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_072.wav,3.0471616,2.5109184,3.5587857,3.109585,3.553057,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_171.wav,3.6572473,3.8988798,4.271885,3.7872012,3.2961378,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_014.wav,3.785772,4.068019,4.2502985,3.9883015,3.9473865,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_177.wav,3.067269,3.5021577,4.120795,3.0354931,3.2350154,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_141.wav,3.40967,3.3418856,4.114419,3.5074713,3.8093507,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_092.wav,2.9399297,3.6026485,4.0250673,3.2910237,3.5539064,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_310.wav,1.5160642,3.3491666,2.1143734,2.408072,2.783234,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_011.wav,1.879476,2.9561234,3.0115101,2.824677,3.690788,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_200.wav,2.3501995,2.650224,3.9326828,3.0455043,3.2676742,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_114.wav,2.7356658,3.4309595,3.6423213,2.8986008,3.733564,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_355.wav,3.0876083,3.9007852,3.796835,3.036021,2.959791,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_003.wav,2.3651052,3.0470026,2.7102664,2.7409236,3.4462776,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_121.wav,2.4580534,3.2655842,3.8988588,2.8967526,3.2658842,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_094.wav,2.1419876,2.2532494,3.5124264,2.8284757,2.9825418,NISQAv2
data/output/wav48/ps/NMPS/-12/p225/p225_349.wav,2.0408225,3.5382075,2.7131927,2.7080495,3.0539243,NISQAv2
