path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/ps/NMPS/12/p225/p225_315.wav,3.3940263,3.599543,4.1497426,3.4708962,4.0125813,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_293.wav,2.782075,3.6566298,3.9531994,3.2265856,3.6042876,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_018.wav,3.1588762,3.818692,4.251107,3.7393987,3.618653,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_071.wav,1.9853106,3.068864,3.616673,2.1421292,2.873359,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_324.wav,1.8806604,3.181823,3.2507708,2.8519762,3.3899682,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_222.wav,2.3841796,3.584836,3.578708,3.276998,3.0044394,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_023.wav,2.3033652,3.5657284,2.9063773,2.9277902,3.1098154,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_257.wav,3.8057473,3.9135296,4.3713164,3.7913387,3.7639701,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_220.wav,2.9670832,4.0621843,4.0037694,2.9586275,3.4699152,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_040.wav,2.72133,3.7204762,3.9829948,2.9797382,3.571213,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_046.wav,3.0841222,3.9896932,4.267051,3.1430163,3.8152554,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_067.wav,2.2499926,2.6299067,2.2224064,2.8953671,3.2945733,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_191.wav,2.9583914,3.9014442,4.2324076,2.9392898,3.5553744,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_169.wav,2.5110343,3.638591,3.7766948,2.8015916,3.1303713,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_298.wav,2.3534455,3.00755,3.564089,2.952676,3.5169742,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_150.wav,2.3193932,2.752803,3.640719,2.967315,3.6530783,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_059.wav,2.6903493,3.5539138,4.0118,3.1481946,3.0194914,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_238.wav,3.0129733,3.521526,3.9332361,3.0187352,3.4764774,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_300.wav,2.5374293,3.880295,3.8883975,2.9541347,3.259971,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_038.wav,2.493344,3.0714164,3.240654,3.0129023,3.2648773,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_004.wav,2.3443801,3.7944129,3.8803952,2.5899856,3.1802287,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_172.wav,2.4946585,3.6292894,3.1578624,2.5762093,3.0103476,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_058.wav,2.8864033,3.5985749,4.1255817,3.5916393,3.4660575,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_212.wav,1.2625922,3.1873505,2.356901,2.5020654,3.6397765,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_072.wav,1.3590711,3.736473,2.3707182,2.0698514,3.2867067,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_171.wav,2.5430362,3.7524521,3.957664,2.8217523,3.5336697,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_014.wav,2.181049,3.7528365,2.7927454,2.6620908,3.097111,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_177.wav,2.6963332,3.552603,3.8316007,2.6996229,3.5625222,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_141.wav,1.5884304,3.2185802,2.6562479,2.480856,3.2402112,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_092.wav,2.7987792,3.6810172,4.0302167,2.8835597,3.482942,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_310.wav,2.2952766,3.6039567,3.8274813,2.6120424,3.4432452,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_011.wav,2.681627,3.5267565,3.7353127,3.2933843,2.861334,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_200.wav,4.04224,4.087566,4.4088426,3.9302814,4.1506224,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_114.wav,1.5580251,3.353368,2.521062,2.7383313,3.1393526,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_355.wav,2.2353156,3.4212668,3.4660585,2.6383412,3.467994,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_003.wav,2.6381962,3.4367762,3.3074877,2.904524,2.9222977,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_121.wav,2.5085857,3.0363383,3.4828038,3.2390788,3.5353215,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_094.wav,2.786159,3.861023,3.922607,3.3765366,3.686938,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_349.wav,2.0404892,3.3617654,2.976909,2.8796048,2.5662603,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_176.wav,2.1207497,3.6770241,3.8381407,2.5184581,3.3508608,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_173.wav,1.7792442,3.532356,3.0482924,2.3740304,3.2988594,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_350.wav,2.3477702,3.556421,2.3125763,2.687403,3.025368,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_275.wav,3.5699337,4.0142107,4.2798843,3.2218864,4.025195,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_334.wav,1.8829178,2.7671332,3.5445683,2.5153577,3.4502099,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_045.wav,3.2622435,4.028653,4.102162,3.3321612,3.690511,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_165.wav,2.6850665,3.5389059,3.7845435,2.2587528,3.197655,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_282.wav,2.0051844,2.4437292,3.9245267,2.9879432,3.4616334,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_264.wav,3.272,3.7811878,4.2817106,3.7008412,3.8748238,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_127.wav,1.9547633,3.3162322,2.5414186,2.5150344,3.2015657,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_051.wav,3.884741,4.1720343,4.4330344,4.01761,3.9355156,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_002.wav,3.6312296,3.0003657,4.4575696,3.7510707,3.4448063,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_153.wav,2.9398859,3.6402676,4.0307264,2.7723444,3.58949,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_299.wav,3.154874,3.8648283,4.005748,3.5333943,3.7615182,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_201.wav,2.4629753,3.3425717,3.6801314,2.58623,3.1806707,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_104.wav,2.0399745,3.1773221,3.563874,2.4645073,3.0903618,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_358.wav,2.6601028,3.141577,3.160578,3.1846502,3.8327188,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_022.wav,2.052705,3.5309145,2.484129,2.640668,2.1755836,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_005.wav,3.0951002,3.659272,3.9722672,3.5002298,3.5270526,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_290.wav,1.3615764,2.8313951,2.062246,1.9573243,3.2079809,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_254.wav,2.5900114,3.5423777,4.0288258,3.475835,3.571227,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_057.wav,2.1461835,3.5555732,2.9978743,2.8664935,2.6211212,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_322.wav,1.8622946,3.4077418,2.460615,2.3799348,3.4094656,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_116.wav,2.3002343,3.5102794,3.8675568,2.8931868,3.544392,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_286.wav,3.4348574,3.9359763,4.132641,3.4686348,3.8974516,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_123.wav,2.8253207,3.6790955,4.1174536,3.3472335,3.8709216,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_265.wav,1.5794874,3.461092,3.5426683,2.1622555,2.967294,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_348.wav,3.1352818,4.1383758,4.1127257,2.9302087,3.5714498,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_356.wav,2.5749104,3.2376711,4.0767,3.0383143,3.6680439,NISQAv2
data/output/wav48/ps/NMPS/12/p225/p225_277.wav,2.060034,3.493048,3.5429685,2.3236456,3.010499,NISQAv2
