path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/NM/1.5/p225/p225_315.wav,3.034654,3.1264648,3.747566,3.447382,3.5953345,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_293.wav,2.138496,2.6598244,2.5558677,2.581505,3.0007777,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_018.wav,3.5073237,3.7898953,3.642239,3.9742875,4.0616755,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_071.wav,3.4173672,3.9285958,3.5390604,3.8385386,3.334152,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_324.wav,2.7969003,3.9584842,2.566399,3.0470555,3.7267148,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_222.wav,3.7031648,3.5911329,3.6931698,3.7332516,3.9736063,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_023.wav,2.7169757,3.3054063,3.1073868,2.9584367,3.4856327,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_257.wav,3.5436747,3.1885364,3.5190356,3.8387644,3.9534824,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_220.wav,3.6294177,3.977686,3.591439,3.6365564,3.6893775,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_040.wav,3.4583337,3.5040538,3.5644495,3.8810818,3.8845007,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_046.wav,3.7513242,3.7563636,4.2161083,3.8398738,3.9794085,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_067.wav,2.4133391,2.9776022,2.4944842,2.8151553,3.4459803,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_191.wav,3.8103738,3.7762947,4.40194,4.182674,4.167475,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_169.wav,3.3964884,3.4759698,3.8827012,3.68903,3.5141122,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_298.wav,2.8718016,2.9116693,3.1746798,2.8452704,3.174117,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_150.wav,2.9816854,2.8529484,3.9557076,3.8287747,3.2179668,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_059.wav,2.9193685,3.5982506,3.1972418,3.259268,3.593632,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_238.wav,2.2451694,3.3727486,2.2804158,2.8957233,3.4257135,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_300.wav,3.318381,2.5048807,3.762674,3.5826166,3.7740595,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_038.wav,2.1464822,3.238959,2.397127,2.640909,3.1948214,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_004.wav,3.9535372,3.882858,4.4130716,4.187986,3.8436487,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_172.wav,2.6777275,3.7213142,2.6507971,2.4053218,3.1586268,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_058.wav,2.3036845,3.2843516,3.690224,3.0210874,3.3716314,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_212.wav,3.8093598,3.7096796,3.9835174,4.139025,4.108364,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_072.wav,2.8813381,3.1847098,3.7886698,3.0377815,3.663484,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_171.wav,3.433953,3.74117,4.330286,3.960578,3.3952253,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_014.wav,3.1407883,3.76562,3.0675373,3.4554467,3.9025466,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_177.wav,3.1081908,3.3433988,3.7749565,3.4899833,3.56672,NISQAv2
data/output/wav48/tsm/NM/1.5/p225/p225_141.wav,3.7457283,3.3148925,4.626831,4.256879,4.242624,NISQAv2
