path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/NM/2/p225/p225_315.wav,2.7313402,2.8128135,3.4338303,2.735217,3.2433212,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_293.wav,1.9074029,2.6053483,2.2959914,2.5754616,3.0905092,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_018.wav,3.257998,3.5220873,3.6272943,3.5739129,3.7976563,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_071.wav,3.2471278,3.5576768,3.0278323,3.5930338,3.5749726,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_324.wav,2.3830307,3.8851287,2.3023582,2.799528,3.6148028,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_222.wav,3.2988377,3.718503,3.010619,3.233408,3.6778047,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_023.wav,2.2764058,2.9303782,2.670305,2.3494265,3.1807122,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_257.wav,3.1213374,3.2852626,3.5585938,3.7205687,3.4100058,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_220.wav,3.4409206,3.9713647,3.7696178,3.7032478,3.603303,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_040.wav,2.4938927,3.385421,2.4392054,2.903422,3.4696145,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_046.wav,2.7966254,3.7412722,2.8629587,2.8794801,3.6876268,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_067.wav,2.052837,2.9399114,2.53976,2.6049476,2.9744794,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_191.wav,3.1789415,3.7040353,3.695842,3.6163301,3.8041813,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_169.wav,2.5832963,3.2368436,2.794583,2.7725165,3.0542004,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_298.wav,2.5670063,3.0064933,3.27544,2.7389367,3.2306283,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_150.wav,2.7969048,2.923858,3.8911612,3.5858238,2.9084482,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_059.wav,2.9149878,3.3582187,3.3043053,3.218145,3.477281,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_238.wav,2.1622832,3.1169417,2.2817457,2.666064,3.3675892,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_300.wav,2.4538264,2.0039456,3.244262,3.04018,3.629419,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_038.wav,2.4516943,3.1344402,2.9702044,2.718925,3.0670779,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_004.wav,3.3193247,3.4923208,3.8520067,3.6184332,3.1554058,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_172.wav,2.8047478,3.737513,2.43285,2.3032153,3.3101208,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_058.wav,2.3416183,2.9961452,3.3927438,2.606987,2.9595268,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_212.wav,2.3628821,3.668329,2.462753,3.0324411,3.4142706,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_072.wav,2.324806,3.333512,3.104059,2.6560233,3.4670365,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_171.wav,2.668412,3.240403,3.7831728,3.5180187,3.1493988,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_014.wav,2.650842,3.5415142,2.6975882,2.9907963,3.4927287,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_177.wav,2.1358228,3.1263368,2.6179569,2.569638,3.2765858,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_141.wav,3.6710055,3.221417,4.507151,4.012214,4.128158,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_092.wav,2.8945992,3.306731,4.0115104,3.449016,3.3659868,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_310.wav,3.140517,3.7360928,4.03569,3.6847157,3.5508006,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_011.wav,2.3994102,3.1222527,2.566684,2.7657192,3.3362777,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_200.wav,2.5290887,3.5364058,2.6648462,2.9604592,3.6098075,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_114.wav,2.9243557,3.7385361,3.7035398,2.7917962,3.3512728,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_355.wav,2.9940298,3.5248306,3.6329389,3.2993705,3.2188718,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_003.wav,1.9313394,2.112518,2.2716591,2.306589,3.1672614,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_121.wav,3.4073598,3.6893494,3.893208,3.4919837,3.687406,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_094.wav,3.0338933,3.46121,4.1239204,3.735349,3.6582055,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_349.wav,2.5529764,3.3493338,2.277075,2.4644158,3.4386165,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_176.wav,3.2830105,3.773623,3.8892488,3.5487506,3.3674915,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_173.wav,2.9614768,3.2517936,3.3483293,3.2207603,3.3102033,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_350.wav,2.9722476,3.5271547,3.6098275,3.5070376,3.6320944,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_275.wav,2.8951247,2.810479,3.4036777,3.0593655,3.3684404,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_334.wav,2.728915,2.6349237,3.0971758,3.3344882,3.5760536,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_045.wav,3.3985903,3.5929296,3.6456506,3.6446993,3.8309565,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_165.wav,2.7814448,3.0228796,3.1860845,2.9118845,3.0307565,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_282.wav,2.3112397,3.3730862,3.0384176,2.4208739,3.0476956,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_264.wav,2.2433527,3.04674,3.1613665,2.8038056,3.0191553,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_127.wav,2.5969853,3.6617296,3.6924572,2.4041007,2.985299,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_051.wav,2.2185018,3.3275435,2.4842618,2.592544,3.4353058,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_002.wav,3.0071414,2.9153934,3.3853805,3.3250937,3.7663288,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_153.wav,2.3658087,2.9228444,2.829861,2.5082815,2.7674544,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_299.wav,3.2573512,3.2377608,4.1117043,3.6266773,3.5473018,NISQAv2
data/output/wav48/tsm/NM/2/p225/p225_201.wav,2.9151914,3.1840055,3.123172,3.1295543,3.2479067,NISQAv2
