path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/NM/rt_up/p225/p225_039.wav,0.96095866,2.53877,1.6008515,2.218817,2.9484694,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_011.wav,0.89931345,2.890946,1.5238554,1.9468511,2.8048165,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_005.wav,0.81088984,3.1919534,1.2508497,2.4044726,2.7695472,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_004.wav,0.77567834,3.569433,1.0863636,2.1386814,2.9798486,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_010.wav,0.94390255,2.444332,1.7425976,2.3521721,2.9752119,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_038.wav,0.9015518,3.1202357,1.4101305,2.3587565,3.1441414,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_006.wav,0.92008364,2.8957698,1.3182671,2.1811671,3.1350906,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_012.wav,0.94474214,3.1341465,1.3142481,2.2751248,2.7464635,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_013.wav,0.81804836,2.7749217,1.2377424,2.3017817,2.6180124,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_007.wav,0.72594666,3.3531585,1.201715,2.040829,2.7077558,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_003.wav,0.9970449,2.9683785,1.4570558,2.3402686,2.7678297,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_017.wav,1.1203717,3.404359,1.7975266,2.6619377,2.9250383,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_016.wav,0.9709139,3.3716912,1.3888943,2.4707677,2.9350846,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_002.wav,0.9965391,3.214904,1.3913102,2.370314,2.8443491,NISQAv2
data/output/wav48/tsm/NM/rt_up/p225/p225_014.wav,0.9275666,2.9539032,1.2378867,2.3950899,2.9330864,NISQAv2
