path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/ps/PSOLA/-12/p225/p225_315.wav,1.8800801,3.2426403,3.1092112,2.725552,3.4417434,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_293.wav,2.195801,3.287004,2.8275812,3.0522325,3.4031968,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_018.wav,1.5143789,3.394544,3.2254746,2.5254862,3.1303828,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_071.wav,1.8195206,2.9924276,2.2059805,3.0115843,3.2062287,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_324.wav,1.633484,2.9707205,2.8521936,2.8095586,3.3456023,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_222.wav,1.9586343,3.5213225,3.1753328,2.613456,3.1532128,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_023.wav,1.6044759,2.4566877,3.3410256,2.1157105,3.0341966,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_257.wav,1.8223141,3.5243962,3.262695,2.3245733,3.2079723,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_220.wav,2.0842764,3.104983,2.8391745,3.2984293,3.6026397,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_040.wav,1.4916502,3.0420787,2.6408255,3.0325801,2.9734797,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_046.wav,1.9816629,3.176965,3.27411,2.953253,3.4200373,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_067.wav,2.2058876,3.3115566,3.3978937,2.2809808,3.015725,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_191.wav,2.4335184,3.0630286,3.4067953,2.3853388,3.2565057,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_169.wav,1.981909,3.0933602,2.996938,2.973685,3.2636514,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_298.wav,1.8819532,3.0569136,2.8018918,3.090314,3.4324033,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_150.wav,2.7427766,3.225082,3.3915067,3.554961,3.5060356,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_059.wav,1.9245348,3.0817115,2.6230044,3.1898048,3.332144,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_238.wav,2.1493807,3.07526,3.2383997,2.8533626,3.1003,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_300.wav,1.6279559,3.319607,2.29909,3.2611158,3.362356,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_038.wav,1.8916987,3.2240992,3.2601192,2.4169111,2.998227,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_004.wav,1.8801388,2.6374984,3.410754,2.8271086,3.1451027,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_172.wav,1.738856,3.2455122,2.342129,3.3722813,3.6795163,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_058.wav,1.6485729,3.3080866,3.038816,1.8748937,2.7330992,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_212.wav,2.2461874,2.8864205,2.7349992,3.0987184,3.321569,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_072.wav,1.63566,3.0440795,2.0419657,2.6882057,3.284664,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_171.wav,2.374824,3.135422,3.4648473,3.393834,3.4910314,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_014.wav,1.7163116,2.7675817,3.33506,2.0532427,2.8136413,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_177.wav,1.8789154,3.3056498,2.9675415,3.0387633,3.336807,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_141.wav,2.4285748,3.1577766,3.583121,2.8811967,3.4040697,NISQAv2
data/output/wav48/ps/PSOLA/-12/p225/p225_092.wav,1.7586614,3.2272837,2.164607,3.124819,3.1623375,NISQAv2
