path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/ps/PSOLA/rt_up/p225/p225_315.wav,1.8859409,3.1121552,2.4681768,1.9487333,2.7437115,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_293.wav,1.283583,3.3072376,1.9186532,2.428032,2.5249124,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_018.wav,1.6113279,3.2029321,2.549682,1.968058,2.798363,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_071.wav,1.6486309,2.678633,2.0294094,2.3081844,2.5747278,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_324.wav,1.694659,2.9237635,2.4763858,2.1593015,2.7730348,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_222.wav,1.8528818,3.4844472,3.067612,1.830003,2.7143881,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_023.wav,1.438717,2.5511465,2.5302343,1.3605726,2.508074,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_257.wav,1.4983763,2.9028757,2.1696992,2.5125406,2.2941062,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_220.wav,1.8467513,3.0697184,2.4207857,2.750594,2.6530406,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_040.wav,1.4961028,3.2146003,1.9817264,2.720624,2.9618146,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_046.wav,1.700042,3.0636852,2.080876,2.4820225,3.090829,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_067.wav,1.3615392,2.8685281,2.3337975,1.8074772,2.5763664,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_191.wav,1.2966589,3.0239031,2.6900306,1.5851911,2.7332165,NISQAv2
data/output/wav48/ps/PSOLA/rt_up/p225/p225_169.wav,1.3756665,2.7949896,1.9415934,1.8289073,2.5035598,NISQAv2
