path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/PV/0.5/p225/p225_315.wav,1.7823288,3.6838603,1.837712,2.3221304,3.1698916,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_293.wav,2.5403252,3.7183793,2.7205436,2.7291658,3.3434353,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_018.wav,3.9395869,3.9621809,3.9616773,3.6726916,4.1298885,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_071.wav,3.066971,3.8627198,3.4352365,3.4238124,3.6737742,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_324.wav,4.435656,4.0041723,4.106998,4.0172625,4.2071986,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_222.wav,4.562325,4.0885534,4.3761687,4.3829904,4.415731,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_023.wav,3.067431,2.4451547,3.372931,2.9153433,3.651059,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_257.wav,2.7092087,3.5618522,3.1507318,2.945584,3.692964,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_220.wav,2.0445728,3.8685737,2.186443,2.6166832,3.4100764,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_040.wav,3.4197009,3.7711723,3.612993,3.2648432,3.741434,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_046.wav,3.9450316,4.0546017,4.149724,3.845881,4.111444,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_067.wav,3.7539854,3.7303464,3.9473422,3.6678026,4.0600863,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_191.wav,4.684355,4.2992463,4.675801,4.4584494,4.5555253,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_169.wav,2.7399087,3.4292128,2.9222305,3.1597326,3.7234797,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_298.wav,1.9829236,4.03279,1.9849722,2.6281302,3.5562832,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_150.wav,3.7849715,3.9251857,3.9680855,3.6917002,4.0012884,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_059.wav,2.9034348,2.9855072,3.3177302,2.8480158,3.8959599,NISQAv2
data/output/wav48/tsm/PV/0.5/p225/p225_238.wav,3.7286851,3.7969184,3.8085845,3.7494419,3.7838857,NISQAv2
