path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/PV/2/p225/p225_315.wav,2.1058142,3.665389,2.527065,2.6049101,3.4414558,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_293.wav,2.035612,3.4550068,2.7215936,2.7252908,3.2841218,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_018.wav,3.3317058,3.7642114,3.909667,3.951974,3.5902278,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_071.wav,3.554355,3.873216,4.2481413,4.053329,3.9825675,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_324.wav,2.8411999,3.7880847,2.9254932,2.9691133,3.489985,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_222.wav,3.1515281,3.6898448,3.586909,3.6911001,3.8594496,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_023.wav,2.485759,2.3006053,3.876147,3.453276,3.8166564,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_257.wav,3.8978412,3.9338944,3.9925272,4.1197515,4.0508156,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_220.wav,3.3560557,3.7610526,3.5410225,3.3165474,3.7896087,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_040.wav,2.0488417,3.4842002,2.5849946,2.6521287,3.2236598,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_046.wav,3.3025563,3.7870486,4.020668,3.800241,4.165516,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_067.wav,2.3182733,2.89488,3.484639,3.2645953,3.3988605,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_191.wav,2.1474571,3.3811572,2.883036,2.9976106,3.4853525,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_169.wav,3.1454108,3.505726,3.7500222,3.7365558,3.8272634,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_298.wav,3.5866008,3.6165595,3.7312405,3.726657,3.8875444,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_150.wav,1.6276541,3.4523323,2.2964342,2.5153763,2.9842637,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_059.wav,2.8734958,3.3189385,3.2552626,3.2182202,2.9386008,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_238.wav,2.994481,3.4113793,3.927076,4.092009,3.6716526,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_300.wav,1.7733574,3.7132456,2.5129185,2.092961,3.010827,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_038.wav,2.3865664,3.1862552,3.1798565,2.8624616,2.3451884,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_004.wav,2.347768,2.96392,2.7736187,2.933445,3.6751585,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_172.wav,3.899624,3.878504,4.08307,3.9776719,4.161693,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_058.wav,2.8287206,3.502362,3.6202354,2.9648547,3.2443674,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_212.wav,2.218254,3.5832384,2.6273198,2.9905584,3.2132654,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_072.wav,1.9675332,3.7028773,2.3646924,2.2143133,3.391318,NISQAv2
data/output/wav48/tsm/PV/2/p225/p225_171.wav,1.9085301,3.7196715,2.7200332,2.3679287,3.3177516,NISQAv2
