path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/PV/rt_up/p225/p225_039.wav,2.9485674,3.5234106,2.8770587,3.456642,3.7500427,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_011.wav,3.1678362,3.6318748,3.4068246,3.2441895,3.472229,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_005.wav,3.5558388,3.9761066,4.021882,4.0131664,3.9997962,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_004.wav,3.0063825,3.1345158,3.2663572,3.4534013,3.9022377,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_010.wav,2.569078,3.4848323,2.7473342,2.7078552,2.920366,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_038.wav,2.6370943,3.3765848,3.1290195,2.881667,2.9837,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_006.wav,3.0269654,3.7846682,3.090505,3.3126445,3.745864,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_012.wav,3.5296426,2.6182737,3.864639,3.9351807,3.9498863,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_013.wav,2.8667343,3.0168736,2.9601521,3.046506,3.7633364,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_007.wav,4.1794157,4.064448,4.3883805,4.202578,4.054909,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_003.wav,3.0774157,3.075996,3.9796555,3.4682815,3.2706535,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_017.wav,3.1929338,3.3426645,3.6409647,3.510762,3.7899053,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_016.wav,3.8886468,3.8922727,4.1811624,3.9162405,4.097592,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_002.wav,3.5762136,3.4881747,4.0303817,3.1410635,3.811212,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_014.wav,3.6455727,3.2671223,4.206592,3.947131,4.014484,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_028.wav,4.0772166,3.4558904,4.3519526,4.2210584,4.201901,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_029.wav,3.7836695,3.6929104,3.7404668,3.6745913,4.067854,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_001.wav,3.330109,2.7399955,3.786401,3.7859297,3.9467647,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_072.wav,2.4247668,3.816541,2.492101,2.4617116,3.4554324,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_066.wav,4.3276796,4.211988,4.5285273,4.3416734,4.419043,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_067.wav,3.3971047,3.0868404,4.0714507,3.8653245,3.769918,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_073.wav,3.7830381,3.8118346,4.316032,4.208983,4.1273165,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_059.wav,3.720285,3.667888,4.189971,3.6401563,3.993194,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_065.wav,3.4437385,3.3427072,4.0137215,3.2262661,3.9601433,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_071.wav,3.7836106,4.0407753,4.300659,4.1561694,4.2303767,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_070.wav,3.8535638,3.2164803,4.0543833,4.0644703,4.1123343,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_064.wav,4.140285,4.300057,4.1366177,3.9939198,4.219727,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_058.wav,3.5659192,3.859656,3.9512355,3.6675773,3.9349005,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_060.wav,3.3905008,3.758103,4.0179377,4.0005035,4.089064,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_049.wav,4.047767,3.911328,4.2383804,4.0569673,3.9916532,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_061.wav,3.297392,3.4236686,3.709595,3.181811,3.2142372,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_063.wav,3.864289,4.042689,4.1926928,3.9086857,3.9738927,NISQAv2
data/output/wav48/tsm/PV/rt_up/p225/p225_089.wav,4.022318,4.2648168,4.3221383,4.1128955,4.264751,NISQAv2
