path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/TSMNET/0.5/p225/p225_315.wav,0.7612758,2.6178248,2.0144038,1.5574973,2.1889107,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_293.wav,1.0994842,3.3352172,1.7450542,1.7573928,2.9133065,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_018.wav,1.219959,3.404288,2.5045247,1.6609683,2.5654385,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_071.wav,1.5509311,3.0439937,2.4873478,2.4008036,2.7031107,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_324.wav,1.0948352,2.8437378,1.826906,1.978083,2.4012697,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_222.wav,0.9571407,3.1341703,1.2789302,1.5502896,2.4651854,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_023.wav,0.7837238,3.568936,1.7096019,1.5580153,2.3125007,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_257.wav,0.6969672,2.7575161,1.5214815,1.4745603,1.9587581,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_220.wav,1.5932804,3.557905,2.365173,1.9148221,2.0975568,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_040.wav,0.865081,3.2835367,1.3327384,1.5607841,2.1817033,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_046.wav,0.906014,3.2598493,1.680011,1.6271405,2.8513303,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_067.wav,0.8911136,3.2837937,1.519239,1.8289034,2.9569566,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_191.wav,2.6419282,2.987484,3.6342053,3.2853367,2.627067,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_169.wav,0.82993346,3.0262089,1.5290236,1.6237797,2.1040485,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_298.wav,1.39805,3.4799101,2.5375676,2.217891,2.5144312,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_150.wav,0.67463166,2.571882,1.5457659,1.5412931,2.1253762,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_059.wav,1.1869929,3.006998,2.3467274,1.7639382,2.3762615,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_238.wav,1.7478855,3.230343,2.38217,2.0623102,2.8802617,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_300.wav,1.0646547,2.5687532,1.7028806,2.076869,2.8939083,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_038.wav,0.9393489,2.6558008,1.6247976,1.5714397,2.7700217,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_004.wav,0.94878405,3.401603,1.4590085,1.517665,2.5319543,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_172.wav,1.5297346,2.9880493,2.1469107,1.9207795,3.0621831,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_058.wav,0.68905133,2.6195333,1.2235503,1.4918505,2.4402485,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_212.wav,1.0200888,3.2706358,1.4406416,1.6504358,2.8266287,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_072.wav,0.81623554,2.5393841,1.9648237,1.7049074,2.3699877,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_171.wav,1.4264618,3.9761548,2.8732562,1.9478781,2.326189,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_014.wav,1.4416671,3.4987056,1.9808695,2.0299928,2.929619,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_177.wav,1.114232,3.2751546,2.0748446,1.7560189,2.142432,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_141.wav,0.92532635,2.2631345,1.5238285,1.6801534,2.6315176,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_092.wav,1.0807655,2.7922647,2.099152,1.6876247,2.5828109,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_310.wav,0.9608658,3.3652198,2.1093507,1.817709,2.2382898,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_011.wav,0.93180066,3.457836,2.009163,1.7669469,2.8792915,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_200.wav,1.3553144,2.7571874,2.5887024,2.6468365,2.990884,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_114.wav,1.2850927,3.1534865,2.683581,2.0055046,2.1940138,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_355.wav,0.6237415,2.8528316,1.337461,1.4414217,2.0094852,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_003.wav,1.175617,3.5837724,1.5973272,1.9310696,2.9470246,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_121.wav,0.84020275,2.8668597,1.3574486,1.5471525,2.5225682,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_094.wav,1.390581,3.2252657,2.027683,1.50471,2.6062024,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_349.wav,1.2064285,2.9080493,1.6723294,1.9151042,3.2589185,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_176.wav,1.3508673,3.3277438,1.6975887,1.708199,2.7049358,NISQAv2
data/output/wav48/tsm/TSMNET/0.5/p225/p225_173.wav,1.1281166,3.7054222,2.3705037,1.8738914,2.1710832,NISQAv2
