path,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_039.wav,2.0743759,4.0243783,4.0955033,2.8291233,2.1726844,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_011.wav,1.7560095,3.9893062,3.6642716,2.118921,2.9347875,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_005.wav,1.8112026,4.2269382,4.0685935,1.7182736,1.9944057,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_004.wav,2.9575179,4.476107,4.256269,2.2772021,2.697663,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_010.wav,2.1089423,3.8549716,3.4708056,2.154424,3.247926,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_038.wav,1.483215,3.6500192,2.9332097,2.089296,2.2887914,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_006.wav,1.8066964,3.5516934,3.5419657,1.7692235,2.7157671,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_012.wav,2.1272733,4.3372693,3.6781676,1.9396544,2.8023336,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_013.wav,2.0965884,4.13302,3.8388727,2.1793468,2.4770815,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_007.wav,2.4730787,4.3883514,3.87237,2.487428,2.296951,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_003.wav,1.9062821,4.1310077,3.1607392,1.6751142,2.800257,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_017.wav,1.4593989,3.6976712,2.5147822,2.4216895,3.260697,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_016.wav,1.911918,4.166843,3.7635438,1.8358731,3.2087846,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_002.wav,1.2387707,3.3301528,2.170151,1.8523777,2.9059832,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_014.wav,2.525573,4.364286,4.7628913,2.8390346,2.3557196,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_028.wav,2.3036814,3.3981016,3.3889449,2.4798539,3.0243034,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_029.wav,1.7684351,3.3981555,2.2059567,2.4662592,3.0865061,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_001.wav,2.0961611,3.8825924,3.4980116,2.181184,3.4373972,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_072.wav,2.0631015,4.147881,4.2201343,2.7794213,1.8375001,NISQAv2
data/output/wav48/tsm/TSMNET/rt_up/p225/p225_066.wav,2.8278344,4.2020206,4.341232,3.1269767,1.7296433,NISQAv2
