file,type,algo,factor,pesq_score
p225/p225_315.wav,tsm,NM,rt_up,1.5155861377716064
p225/p225_293.wav,tsm,NM,rt_up,1.3881181478500366
p225/p225_018.wav,tsm,NM,rt_up,1.5782437324523926
p225/p225_071.wav,tsm,NM,rt_up,2.04512357711792
p225/p225_324.wav,tsm,NM,rt_up,1.962481141090393
p225/p225_222.wav,tsm,NM,rt_up,2.2323694229125977
p225/p225_023.wav,tsm,NM,rt_up,1.743408203125
p225/p225_257.wav,tsm,NM,rt_up,2.0987730026245117
p225/p225_220.wav,tsm,NM,rt_up,1.7037804126739502
p225/p225_040.wav,tsm,NM,rt_up,2.2354118824005127
p225/p225_046.wav,tsm,NM,rt_up,1.7211413383483887
p225/p225_067.wav,tsm,NM,rt_up,1.8635799884796143
p225/p225_191.wav,tsm,NM,rt_up,2.053877115249634
p225/p225_169.wav,tsm,NM,rt_up,1.809220314025879
p225/p225_298.wav,tsm,NM,rt_up,1.6973390579223633
p225/p225_150.wav,tsm,NM,rt_up,1.5951368808746338
p225/p225_059.wav,tsm,NM,rt_up,2.057729482650757
p225/p225_238.wav,tsm,NM,rt_up,1.8576416969299316
p225/p225_300.wav,tsm,NM,rt_up,2.021463632583618
p225/p225_038.wav,tsm,NM,rt_up,2.549863815307617
p225/p225_004.wav,tsm,NM,rt_up,1.531794548034668
p225/p225_172.wav,tsm,NM,rt_up,1.6108002662658691
p225/p225_058.wav,tsm,NM,rt_up,2.2752068042755127
p225/p225_212.wav,tsm,NM,rt_up,1.5107649564743042
p225/p225_072.wav,tsm,NM,rt_up,1.9814189672470093
p225/p225_171.wav,tsm,NM,rt_up,1.5014173984527588
p225/p225_014.wav,tsm,NM,rt_up,1.7140507698059082
p225/p225_177.wav,tsm,NM,rt_up,1.7662988901138306
p225/p225_141.wav,tsm,NM,rt_up,1.4933586120605469
p225/p225_092.wav,tsm,NM,rt_up,1.9406487941741943
p225/p225_310.wav,tsm,NM,rt_up,1.6313871145248413
p225/p225_011.wav,tsm,NM,rt_up,1.8879013061523438
p225/p225_200.wav,tsm,NM,rt_up,1.7257342338562012
p225/p225_114.wav,tsm,NM,rt_up,2.546015739440918
p225/p225_355.wav,tsm,NM,rt_up,1.7661978006362915
p225/p225_003.wav,tsm,NM,rt_up,1.7039990425109863
