file,type,algo,factor,pesq_score
p225/p225_315.wav,ps,PSOLA,rt_up,1.3434827327728271
p225/p225_293.wav,ps,PSOLA,rt_up,1.6856167316436768
p225/p225_018.wav,ps,PSOLA,rt_up,1.3198899030685425
p225/p225_071.wav,ps,PSOLA,rt_up,1.235966682434082
p225/p225_324.wav,ps,PSOLA,rt_up,1.294685959815979
p225/p225_222.wav,ps,PSOLA,rt_up,1.2625011205673218
p225/p225_023.wav,ps,PSOLA,rt_up,1.2913466691970825
p225/p225_257.wav,ps,PSOLA,rt_up,1.1258763074874878
p225/p225_220.wav,ps,PSOLA,rt_up,1.411129355430603
p225/p225_040.wav,ps,PSOLA,rt_up,1.1912909746170044
p225/p225_046.wav,ps,PSOLA,rt_up,1.3292663097381592
p225/p225_067.wav,ps,PSOLA,rt_up,1.4373528957366943
p225/p225_191.wav,ps,PSOLA,rt_up,1.208244800567627
p225/p225_169.wav,ps,PSOLA,rt_up,1.2703274488449097
p225/p225_298.wav,ps,PSOLA,rt_up,1.2497999668121338
p225/p225_150.wav,ps,PSOLA,rt_up,1.639054298400879
p225/p225_059.wav,ps,PSOLA,rt_up,1.344328761100769
p225/p225_238.wav,ps,PSOLA,rt_up,1.76790189743042
p225/p225_300.wav,ps,PSOLA,rt_up,1.120615005493164
p225/p225_038.wav,ps,PSOLA,rt_up,1.4817707538604736
p225/p225_004.wav,ps,PSOLA,rt_up,1.2479536533355713
p225/p225_172.wav,ps,PSOLA,rt_up,1.1638693809509277
p225/p225_058.wav,ps,PSOLA,rt_up,1.4064526557922363
p225/p225_212.wav,ps,PSOLA,rt_up,1.2979302406311035
p225/p225_072.wav,ps,PSOLA,rt_up,1.2251161336898804
p225/p225_171.wav,ps,PSOLA,rt_up,1.2837960720062256
p225/p225_014.wav,ps,PSOLA,rt_up,1.2106122970581055
p225/p225_177.wav,ps,PSOLA,rt_up,1.1752219200134277
p225/p225_141.wav,ps,PSOLA,rt_up,1.5826796293258667
p225/p225_092.wav,ps,PSOLA,rt_up,1.4972944259643555
p225/p225_310.wav,ps,PSOLA,rt_up,1.217878818511963
p225/p225_011.wav,ps,PSOLA,rt_up,1.4889192581176758
p225/p225_200.wav,ps,PSOLA,rt_up,1.216116189956665
p225/p225_114.wav,ps,PSOLA,rt_up,1.3136087656021118
p225/p225_355.wav,ps,PSOLA,rt_up,1.2546300888061523
p225/p225_003.wav,ps,PSOLA,rt_up,1.368417739868164
p225/p225_121.wav,ps,PSOLA,rt_up,1.1737308502197266
p225/p225_094.wav,ps,PSOLA,rt_up,2.170898675918579
p225/p225_349.wav,ps,PSOLA,rt_up,1.2072162628173828
p225/p225_176.wav,ps,PSOLA,rt_up,1.1629310846328735
p225/p225_173.wav,ps,PSOLA,rt_up,1.578951120376587
p225/p225_350.wav,ps,PSOLA,rt_up,1.2048860788345337
p225/p225_275.wav,ps,PSOLA,rt_up,1.2181124687194824
p225/p225_334.wav,ps,PSOLA,rt_up,1.3239744901657104
p225/p225_045.wav,ps,PSOLA,rt_up,1.2539178133010864
p225/p225_165.wav,ps,PSOLA,rt_up,1.1530481576919556
p225/p225_282.wav,ps,PSOLA,rt_up,1.567834734916687
p225/p225_264.wav,ps,PSOLA,rt_up,1.4680240154266357
p225/p225_127.wav,ps,PSOLA,rt_up,1.2375425100326538
p225/p225_051.wav,ps,PSOLA,rt_up,1.3685917854309082
p225/p225_002.wav,ps,PSOLA,rt_up,1.26790189743042
p225/p225_153.wav,ps,PSOLA,rt_up,1.365647554397583
p225/p225_299.wav,ps,PSOLA,rt_up,1.2260563373565674
p225/p225_201.wav,ps,PSOLA,rt_up,1.37149977684021
p225/p225_104.wav,ps,PSOLA,rt_up,1.4017397165298462
p225/p225_358.wav,ps,PSOLA,rt_up,1.2071118354797363
p225/p225_022.wav,ps,PSOLA,rt_up,1.3121994733810425
p225/p225_005.wav,ps,PSOLA,rt_up,1.2431519031524658
p225/p225_290.wav,ps,PSOLA,rt_up,1.3380436897277832
p225/p225_254.wav,ps,PSOLA,rt_up,1.2585951089859009
p225/p225_057.wav,ps,PSOLA,rt_up,1.4238431453704834
p225/p225_322.wav,ps,PSOLA,rt_up,1.1977616548538208
p225/p225_116.wav,ps,PSOLA,rt_up,1.390120506286621
p225/p225_286.wav,ps,PSOLA,rt_up,1.4825098514556885
p225/p225_123.wav,ps,PSOLA,rt_up,1.3627287149429321
p225/p225_265.wav,ps,PSOLA,rt_up,1.5866961479187012
p225/p225_348.wav,ps,PSOLA,rt_up,1.3864964246749878
p225/p225_356.wav,ps,PSOLA,rt_up,1.4167178869247437
p225/p225_277.wav,ps,PSOLA,rt_up,1.3889719247817993
p225/p225_065.wav,ps,PSOLA,rt_up,1.4691119194030762
p225/p225_192.wav,ps,PSOLA,rt_up,1.2939174175262451
p225/p225_225.wav,ps,PSOLA,rt_up,1.5150789022445679
p225/p225_210.wav,ps,PSOLA,rt_up,1.4431719779968262
p225/p225_224.wav,ps,PSOLA,rt_up,1.5139245986938477
p225/p225_128.wav,ps,PSOLA,rt_up,1.375821828842163
p225/p225_049.wav,ps,PSOLA,rt_up,1.4276727437973022
p225/p225_008.wav,ps,PSOLA,rt_up,1.2839826345443726
p225/p225_239.wav,ps,PSOLA,rt_up,1.1988424062728882
p225/p225_145.wav,ps,PSOLA,rt_up,1.203188180923462
p225/p225_331.wav,ps,PSOLA,rt_up,1.2038674354553223
p225/p225_366.wav,ps,PSOLA,rt_up,1.4229121208190918
p225/p225_122.wav,ps,PSOLA,rt_up,1.2142270803451538
p225/p225_029.wav,ps,PSOLA,rt_up,1.1731523275375366
p225/p225_026.wav,ps,PSOLA,rt_up,1.3199169635772705
p225/p225_211.wav,ps,PSOLA,rt_up,1.295907974243164
p225/p225_208.wav,ps,PSOLA,rt_up,1.31209135055542
p225/p225_335.wav,ps,PSOLA,rt_up,1.2432150840759277
p225/p225_120.wav,ps,PSOLA,rt_up,1.2069408893585205
p225/p225_158.wav,ps,PSOLA,rt_up,1.7805399894714355
p225/p225_066.wav,ps,PSOLA,rt_up,1.5454564094543457
p225/p225_117.wav,ps,PSOLA,rt_up,1.1742336750030518
p225/p225_089.wav,ps,PSOLA,rt_up,1.3411917686462402
p225/p225_312.wav,ps,PSOLA,rt_up,1.162354588508606
p225/p225_086.wav,ps,PSOLA,rt_up,1.6496796607971191
p225/p225_241.wav,ps,PSOLA,rt_up,1.4643073081970215
p225/p225_012.wav,ps,PSOLA,rt_up,1.7388966083526611
p225/p225_175.wav,ps,PSOLA,rt_up,1.5179598331451416
p225/p225_017.wav,ps,PSOLA,rt_up,1.4038681983947754
p225/p225_142.wav,ps,PSOLA,rt_up,1.674357533454895
p225/p225_028.wav,ps,PSOLA,rt_up,1.3986519575119019
p225/p225_276.wav,ps,PSOLA,rt_up,1.3055444955825806
p225/p225_309.wav,ps,PSOLA,rt_up,1.3777713775634766
p225/p225_329.wav,ps,PSOLA,rt_up,1.2812867164611816
p225/p225_295.wav,ps,PSOLA,rt_up,1.3270015716552734
p225/p225_056.wav,ps,PSOLA,rt_up,1.4072060585021973
p225/p225_281.wav,ps,PSOLA,rt_up,1.575871467590332
p225/p225_007.wav,ps,PSOLA,rt_up,1.2512303590774536
p225/p225_110.wav,ps,PSOLA,rt_up,1.4387309551239014
p225/p225_073.wav,ps,PSOLA,rt_up,1.2598023414611816
p225/p225_195.wav,ps,PSOLA,rt_up,1.3529411554336548
p225/p225_193.wav,ps,PSOLA,rt_up,1.2485864162445068
p225/p225_297.wav,ps,PSOLA,rt_up,1.2908457517623901
p225/p225_218.wav,ps,PSOLA,rt_up,1.387252926826477
p225/p225_242.wav,ps,PSOLA,rt_up,1.2696551084518433
p225/p225_136.wav,ps,PSOLA,rt_up,1.2620803117752075
p225/p225_021.wav,ps,PSOLA,rt_up,1.3875408172607422
p225/p225_024.wav,ps,PSOLA,rt_up,1.2662516832351685
