file,type,algo,factor,pesq_score
p225/p225_315.wav,ps,PVPS,rt_down,2.291243553161621
p225/p225_293.wav,ps,PVPS,rt_down,2.533987522125244
p225/p225_018.wav,ps,PVPS,rt_down,2.1363236904144287
p225/p225_071.wav,ps,PVPS,rt_down,2.006000518798828
p225/p225_324.wav,ps,PVPS,rt_down,2.1122846603393555
p225/p225_222.wav,ps,PVPS,rt_down,2.5439674854278564
p225/p225_023.wav,ps,PVPS,rt_down,2.397918224334717
p225/p225_257.wav,ps,PVPS,rt_down,1.9083123207092285
p225/p225_220.wav,ps,PVPS,rt_down,1.9282596111297607
p225/p225_040.wav,ps,PVPS,rt_down,1.5319159030914307
p225/p225_046.wav,ps,PVPS,rt_down,2.3593909740448
p225/p225_067.wav,ps,PVPS,rt_down,2.644443988800049
p225/p225_191.wav,ps,PVPS,rt_down,2.3924784660339355
p225/p225_169.wav,ps,PVPS,rt_down,1.754215955734253
p225/p225_298.wav,ps,PVPS,rt_down,2.13268780708313
p225/p225_150.wav,ps,PVPS,rt_down,2.2705798149108887
p225/p225_059.wav,ps,PVPS,rt_down,2.8546109199523926
p225/p225_238.wav,ps,PVPS,rt_down,2.492300033569336
p225/p225_300.wav,ps,PVPS,rt_down,2.3365774154663086
p225/p225_038.wav,ps,PVPS,rt_down,2.836928606033325
p225/p225_004.wav,ps,PVPS,rt_down,2.1367766857147217
p225/p225_172.wav,ps,PVPS,rt_down,1.5198084115982056
p225/p225_058.wav,ps,PVPS,rt_down,2.865227699279785
p225/p225_212.wav,ps,PVPS,rt_down,2.7365334033966064
p225/p225_072.wav,ps,PVPS,rt_down,1.7888062000274658
p225/p225_171.wav,ps,PVPS,rt_down,1.9829509258270264
p225/p225_014.wav,ps,PVPS,rt_down,2.0531349182128906
p225/p225_177.wav,ps,PVPS,rt_down,1.6537632942199707
p225/p225_141.wav,ps,PVPS,rt_down,2.2779123783111572
p225/p225_092.wav,ps,PVPS,rt_down,2.5115585327148438
p225/p225_310.wav,ps,PVPS,rt_down,1.9903266429901123
p225/p225_011.wav,ps,PVPS,rt_down,2.5333378314971924
p225/p225_200.wav,ps,PVPS,rt_down,2.389437437057495
p225/p225_114.wav,ps,PVPS,rt_down,1.949202060699463
p225/p225_355.wav,ps,PVPS,rt_down,2.28378963470459
p225/p225_003.wav,ps,PVPS,rt_down,2.569547414779663
p225/p225_121.wav,ps,PVPS,rt_down,1.5653958320617676
p225/p225_094.wav,ps,PVPS,rt_down,1.5861475467681885
p225/p225_349.wav,ps,PVPS,rt_down,2.172973155975342
p225/p225_176.wav,ps,PVPS,rt_down,2.057727336883545
p225/p225_173.wav,ps,PVPS,rt_down,2.610229015350342
p225/p225_350.wav,ps,PVPS,rt_down,2.6782429218292236
p225/p225_275.wav,ps,PVPS,rt_down,1.802931308746338
p225/p225_334.wav,ps,PVPS,rt_down,1.9577465057373047
p225/p225_045.wav,ps,PVPS,rt_down,2.3731110095977783
p225/p225_165.wav,ps,PVPS,rt_down,1.4722304344177246
p225/p225_282.wav,ps,PVPS,rt_down,2.3681559562683105
p225/p225_264.wav,ps,PVPS,rt_down,2.1944148540496826
p225/p225_127.wav,ps,PVPS,rt_down,1.3422322273254395
p225/p225_051.wav,ps,PVPS,rt_down,2.7302441596984863
p225/p225_002.wav,ps,PVPS,rt_down,2.098862886428833
p225/p225_153.wav,ps,PVPS,rt_down,2.132261037826538
p225/p225_299.wav,ps,PVPS,rt_down,2.666740894317627
p225/p225_201.wav,ps,PVPS,rt_down,2.4455366134643555
p225/p225_104.wav,ps,PVPS,rt_down,1.9542959928512573
p225/p225_358.wav,ps,PVPS,rt_down,2.0570526123046875
p225/p225_022.wav,ps,PVPS,rt_down,2.8668887615203857
p225/p225_005.wav,ps,PVPS,rt_down,1.9097386598587036
p225/p225_290.wav,ps,PVPS,rt_down,2.1279184818267822
p225/p225_254.wav,ps,PVPS,rt_down,2.3557121753692627
p225/p225_057.wav,ps,PVPS,rt_down,2.8360629081726074
p225/p225_322.wav,ps,PVPS,rt_down,1.8060539960861206
p225/p225_116.wav,ps,PVPS,rt_down,2.5883994102478027
p225/p225_286.wav,ps,PVPS,rt_down,1.8491501808166504
p225/p225_123.wav,ps,PVPS,rt_down,2.0325937271118164
p225/p225_265.wav,ps,PVPS,rt_down,2.4189820289611816
p225/p225_348.wav,ps,PVPS,rt_down,1.888904333114624
p225/p225_356.wav,ps,PVPS,rt_down,2.409712076187134
p225/p225_277.wav,ps,PVPS,rt_down,1.8810170888900757
p225/p225_065.wav,ps,PVPS,rt_down,2.699989080429077
p225/p225_192.wav,ps,PVPS,rt_down,2.7114603519439697
p225/p225_225.wav,ps,PVPS,rt_down,2.1975724697113037
p225/p225_210.wav,ps,PVPS,rt_down,2.2148447036743164
