file,type,algo,factor,pesq_score
p225/p225_315.wav,ps,PVPS,rt_up,3.222792863845825
p225/p225_293.wav,ps,PVPS,rt_up,3.089179277420044
p225/p225_018.wav,ps,PVPS,rt_up,3.1376678943634033
p225/p225_071.wav,ps,PVPS,rt_up,3.297114372253418
p225/p225_324.wav,ps,PVPS,rt_up,3.0141360759735107
p225/p225_222.wav,ps,PVPS,rt_up,3.472011089324951
p225/p225_023.wav,ps,PVPS,rt_up,3.395062208175659
p225/p225_257.wav,ps,PVPS,rt_up,3.5164003372192383
p225/p225_220.wav,ps,PVPS,rt_up,2.9057836532592773
p225/p225_040.wav,ps,PVPS,rt_up,3.179485559463501
p225/p225_046.wav,ps,PVPS,rt_up,3.2391343116760254
p225/p225_067.wav,ps,PVPS,rt_up,3.390933036804199
p225/p225_191.wav,ps,PVPS,rt_up,3.4787638187408447
p225/p225_169.wav,ps,PVPS,rt_up,3.1737992763519287
p225/p225_298.wav,ps,PVPS,rt_up,3.119981050491333
p225/p225_150.wav,ps,PVPS,rt_up,3.01784348487854
p225/p225_059.wav,ps,PVPS,rt_up,2.9468326568603516
p225/p225_238.wav,ps,PVPS,rt_up,3.3454065322875977
p225/p225_300.wav,ps,PVPS,rt_up,3.027313470840454
p225/p225_038.wav,ps,PVPS,rt_up,3.4567360877990723
p225/p225_004.wav,ps,PVPS,rt_up,3.230625867843628
p225/p225_172.wav,ps,PVPS,rt_up,3.360102415084839
p225/p225_058.wav,ps,PVPS,rt_up,3.6630828380584717
p225/p225_212.wav,ps,PVPS,rt_up,3.4823334217071533
p225/p225_072.wav,ps,PVPS,rt_up,3.2061710357666016
p225/p225_171.wav,ps,PVPS,rt_up,3.1386210918426514
p225/p225_014.wav,ps,PVPS,rt_up,3.3475089073181152
p225/p225_177.wav,ps,PVPS,rt_up,3.5272903442382812
p225/p225_141.wav,ps,PVPS,rt_up,3.2973875999450684
p225/p225_092.wav,ps,PVPS,rt_up,3.3032402992248535
p225/p225_310.wav,ps,PVPS,rt_up,3.1220037937164307
p225/p225_011.wav,ps,PVPS,rt_up,3.604311227798462
p225/p225_200.wav,ps,PVPS,rt_up,2.9432880878448486
p225/p225_114.wav,ps,PVPS,rt_up,3.5831921100616455
p225/p225_355.wav,ps,PVPS,rt_up,3.3102338314056396
