file,type,algo,factor,pesq_score
p225/p225_039.wav,ps,PV,rt_up,3.4274017810821533
p225/p225_011.wav,ps,PV,rt_up,3.6043148040771484
p225/p225_005.wav,ps,PV,rt_up,3.221330165863037
p225/p225_004.wav,ps,PV,rt_up,3.2306294441223145
p225/p225_010.wav,ps,PV,rt_up,3.5588531494140625
p225/p225_038.wav,ps,PV,rt_up,3.4567277431488037
p225/p225_006.wav,ps,PV,rt_up,3.281440019607544
p225/p225_012.wav,ps,PV,rt_up,3.6445348262786865
p225/p225_013.wav,ps,PV,rt_up,3.3071248531341553
p225/p225_007.wav,ps,PV,rt_up,3.3181164264678955
p225/p225_003.wav,ps,PV,rt_up,3.335296154022217
p225/p225_017.wav,ps,PV,rt_up,3.534261703491211
p225/p225_016.wav,ps,PV,rt_up,3.3032608032226562
p225/p225_002.wav,ps,PV,rt_up,3.299906015396118
p225/p225_014.wav,ps,PV,rt_up,3.3475170135498047
p225/p225_028.wav,ps,PV,rt_up,3.6428062915802
p225/p225_029.wav,ps,PV,rt_up,3.0910532474517822
p225/p225_001.wav,ps,PV,rt_up,3.450932264328003
p225/p225_072.wav,ps,PV,rt_up,3.2062125205993652
p225/p225_066.wav,ps,PV,rt_up,3.2876408100128174
p225/p225_067.wav,ps,PV,rt_up,3.390915870666504
p225/p225_073.wav,ps,PV,rt_up,3.4200851917266846
p225/p225_059.wav,ps,PV,rt_up,2.9472761154174805
p225/p225_065.wav,ps,PV,rt_up,3.6087653636932373
p225/p225_071.wav,ps,PV,rt_up,3.297049045562744
p225/p225_070.wav,ps,PV,rt_up,3.581345319747925
p225/p225_064.wav,ps,PV,rt_up,3.318230628967285
p225/p225_058.wav,ps,PV,rt_up,3.6630666255950928
p225/p225_060.wav,ps,PV,rt_up,3.066969156265259
p225/p225_049.wav,ps,PV,rt_up,3.8933184146881104
p225/p225_061.wav,ps,PV,rt_up,3.842135429382324
p225/p225_063.wav,ps,PV,rt_up,3.2322518825531006
p225/p225_089.wav,ps,PV,rt_up,3.13230037689209
p225/p225_062.wav,ps,PV,rt_up,3.372424602508545
p225/p225_053.wav,ps,PV,rt_up,3.468301296234131
p225/p225_090.wav,ps,PV,rt_up,3.2029404640197754
p225/p225_084.wav,ps,PV,rt_up,3.3658533096313477
p225/p225_046.wav,ps,PV,rt_up,3.238840341567993
p225/p225_052.wav,ps,PV,rt_up,3.102220296859741
p225/p225_044.wav,ps,PV,rt_up,3.3583412170410156
p225/p225_092.wav,ps,PV,rt_up,3.3033037185668945
p225/p225_086.wav,ps,PV,rt_up,3.1863718032836914
p225/p225_051.wav,ps,PV,rt_up,3.4897592067718506
p225/p225_045.wav,ps,PV,rt_up,3.4238014221191406
p225/p225_082.wav,ps,PV,rt_up,3.436253309249878
p225/p225_083.wav,ps,PV,rt_up,3.2514727115631104
p225/p225_054.wav,ps,PV,rt_up,3.4690332412719727
p225/p225_040.wav,ps,PV,rt_up,3.1793954372406006
p225/p225_056.wav,ps,PV,rt_up,3.539400815963745
p225/p225_081.wav,ps,PV,rt_up,3.3720223903656006
p225/p225_094.wav,ps,PV,rt_up,1.9376474618911743
p225/p225_057.wav,ps,PV,rt_up,3.4666497707366943
p225/p225_018.wav,ps,PV,rt_up,3.1375770568847656
p225/p225_030.wav,ps,PV,rt_up,2.992734909057617
p225/p225_024.wav,ps,PV,rt_up,3.2362256050109863
p225/p225_025.wav,ps,PV,rt_up,3.509359121322632
p225/p225_019.wav,ps,PV,rt_up,3.2740159034729004
p225/p225_027.wav,ps,PV,rt_up,3.458700180053711
p225/p225_033.wav,ps,PV,rt_up,2.6010146141052246
p225/p225_026.wav,ps,PV,rt_up,3.5956571102142334
p225/p225_022.wav,ps,PV,rt_up,3.613523006439209
p225/p225_036.wav,ps,PV,rt_up,3.2595109939575195
p225/p225_037.wav,ps,PV,rt_up,3.3939177989959717
p225/p225_023.wav,ps,PV,rt_up,3.3950490951538086
p225/p225_035.wav,ps,PV,rt_up,3.417449474334717
p225/p225_021.wav,ps,PV,rt_up,3.345187187194824
p225/p225_009.wav,ps,PV,rt_up,3.168944835662842
p225/p225_008.wav,ps,PV,rt_up,3.5313034057617188
p225/p225_020.wav,ps,PV,rt_up,3.578035593032837
