file,type,algo,factor,pesq_score
p225/p225_039.wav,tsm,RES,rt_up,4.640455722808838
p225/p225_011.wav,tsm,RES,rt_up,4.6410932540893555
p225/p225_005.wav,tsm,RES,rt_up,4.6420392990112305
p225/p225_004.wav,tsm,RES,rt_up,4.640958786010742
p225/p225_010.wav,tsm,RES,rt_up,4.640728950500488
p225/p225_038.wav,tsm,RES,rt_up,4.639920234680176
p225/p225_006.wav,tsm,RES,rt_up,4.641048908233643
p225/p225_012.wav,tsm,RES,rt_up,4.642348766326904
p225/p225_013.wav,tsm,RES,rt_up,4.642036437988281
p225/p225_007.wav,tsm,RES,rt_up,4.640933513641357
p225/p225_003.wav,tsm,RES,rt_up,4.642699241638184
p225/p225_017.wav,tsm,RES,rt_up,4.640582084655762
p225/p225_016.wav,tsm,RES,rt_up,4.642227649688721
p225/p225_002.wav,tsm,RES,rt_up,4.642195224761963
p225/p225_014.wav,tsm,RES,rt_up,4.641668319702148
p225/p225_028.wav,tsm,RES,rt_up,4.639898300170898
p225/p225_029.wav,tsm,RES,rt_up,4.63800048828125
p225/p225_001.wav,tsm,RES,rt_up,4.643296241760254
p225/p225_072.wav,tsm,RES,rt_up,4.639639377593994
p225/p225_066.wav,tsm,RES,rt_up,4.638459205627441
p225/p225_067.wav,tsm,RES,rt_up,4.642066478729248
p225/p225_073.wav,tsm,RES,rt_up,4.638981342315674
p225/p225_059.wav,tsm,RES,rt_up,4.639163017272949
p225/p225_065.wav,tsm,RES,rt_up,4.640128135681152
p225/p225_071.wav,tsm,RES,rt_up,4.640268802642822
p225/p225_070.wav,tsm,RES,rt_up,4.640575408935547
p225/p225_064.wav,tsm,RES,rt_up,4.640813827514648
p225/p225_058.wav,tsm,RES,rt_up,4.639858245849609
p225/p225_060.wav,tsm,RES,rt_up,4.64130163192749
p225/p225_049.wav,tsm,RES,rt_up,4.640038013458252
p225/p225_061.wav,tsm,RES,rt_up,4.640326499938965
p225/p225_063.wav,tsm,RES,rt_up,4.640880107879639
p225/p225_089.wav,tsm,RES,rt_up,4.640003204345703
p225/p225_062.wav,tsm,RES,rt_up,4.64078950881958
p225/p225_053.wav,tsm,RES,rt_up,4.640100002288818
p225/p225_090.wav,tsm,RES,rt_up,4.639916896820068
p225/p225_084.wav,tsm,RES,rt_up,4.6412763595581055
p225/p225_046.wav,tsm,RES,rt_up,4.639409065246582
p225/p225_052.wav,tsm,RES,rt_up,4.64101505279541
p225/p225_044.wav,tsm,RES,rt_up,4.639158248901367
p225/p225_092.wav,tsm,RES,rt_up,4.639137268066406
p225/p225_086.wav,tsm,RES,rt_up,4.640791416168213
p225/p225_051.wav,tsm,RES,rt_up,4.635895729064941
p225/p225_045.wav,tsm,RES,rt_up,4.635692596435547
p225/p225_082.wav,tsm,RES,rt_up,4.641563415527344
p225/p225_083.wav,tsm,RES,rt_up,4.640687942504883
p225/p225_054.wav,tsm,RES,rt_up,4.640525817871094
p225/p225_040.wav,tsm,RES,rt_up,4.637725353240967
p225/p225_056.wav,tsm,RES,rt_up,4.640712261199951
p225/p225_081.wav,tsm,RES,rt_up,4.6411027908325195
p225/p225_094.wav,tsm,RES,rt_up,4.642848491668701
p225/p225_057.wav,tsm,RES,rt_up,4.640271186828613
p225/p225_018.wav,tsm,RES,rt_up,4.641146183013916
p225/p225_030.wav,tsm,RES,rt_up,4.641419410705566
p225/p225_024.wav,tsm,RES,rt_up,4.640871047973633
p225/p225_025.wav,tsm,RES,rt_up,4.6394758224487305
p225/p225_019.wav,tsm,RES,rt_up,4.643087863922119
p225/p225_027.wav,tsm,RES,rt_up,4.64042329788208
p225/p225_033.wav,tsm,RES,rt_up,4.640114784240723
p225/p225_026.wav,tsm,RES,rt_up,4.64112663269043
p225/p225_022.wav,tsm,RES,rt_up,4.641576290130615
p225/p225_036.wav,tsm,RES,rt_up,4.63726282119751
p225/p225_037.wav,tsm,RES,rt_up,4.640021800994873
p225/p225_023.wav,tsm,RES,rt_up,4.642535209655762
p225/p225_035.wav,tsm,RES,rt_up,4.639752388000488
p225/p225_021.wav,tsm,RES,rt_up,4.640451431274414
p225/p225_009.wav,tsm,RES,rt_up,4.641218185424805
p225/p225_008.wav,tsm,RES,rt_up,4.641446113586426
p225/p225_020.wav,tsm,RES,rt_up,4.642549991607666
