file,type,algo,factor,sisnr_score
p225/p225_315.wav,tsm,HPS,rt_down,-29.586008071899414
p225/p225_293.wav,tsm,HPS,rt_down,-21.57390594482422
p225/p225_018.wav,tsm,HPS,rt_down,-25.07244110107422
p225/p225_071.wav,tsm,HPS,rt_down,-27.661579132080078
p225/p225_324.wav,tsm,HPS,rt_down,-16.796039581298828
p225/p225_222.wav,tsm,HPS,rt_down,-8.061248779296875
p225/p225_023.wav,tsm,HPS,rt_down,-16.017667770385742
p225/p225_257.wav,tsm,HPS,rt_down,-16.472942352294922
p225/p225_220.wav,tsm,HPS,rt_down,-18.953556060791016
p225/p225_040.wav,tsm,HPS,rt_down,-6.998882293701172
p225/p225_046.wav,tsm,HPS,rt_down,-14.897278785705566
p225/p225_067.wav,tsm,HPS,rt_down,-14.32645320892334
p225/p225_191.wav,tsm,HPS,rt_down,-8.943522453308105
p225/p225_169.wav,tsm,HPS,rt_down,-11.224540710449219
p225/p225_298.wav,tsm,HPS,rt_down,-20.818115234375
p225/p225_150.wav,tsm,HPS,rt_down,-18.323266983032227
p225/p225_059.wav,tsm,HPS,rt_down,-26.20195198059082
p225/p225_238.wav,tsm,HPS,rt_down,-34.35515213012695
p225/p225_300.wav,tsm,HPS,rt_down,-10.909873962402344
p225/p225_038.wav,tsm,HPS,rt_down,-12.654144287109375
p225/p225_004.wav,tsm,HPS,rt_down,-15.996559143066406
p225/p225_172.wav,tsm,HPS,rt_down,-16.556142807006836
p225/p225_058.wav,tsm,HPS,rt_down,-9.561735153198242
p225/p225_212.wav,tsm,HPS,rt_down,-23.548282623291016
p225/p225_072.wav,tsm,HPS,rt_down,-13.379798889160156
p225/p225_171.wav,tsm,HPS,rt_down,-21.667377471923828
p225/p225_014.wav,tsm,HPS,rt_down,-27.788122177124023
p225/p225_177.wav,tsm,HPS,rt_down,-21.26298713684082
p225/p225_141.wav,tsm,HPS,rt_down,-27.16228485107422
p225/p225_092.wav,tsm,HPS,rt_down,-21.326419830322266
p225/p225_310.wav,tsm,HPS,rt_down,-7.953255653381348
p225/p225_011.wav,tsm,HPS,rt_down,-27.584148406982422
p225/p225_200.wav,tsm,HPS,rt_down,-20.357376098632812
p225/p225_114.wav,tsm,HPS,rt_down,-19.63861656188965
p225/p225_355.wav,tsm,HPS,rt_down,-14.698707580566406
p225/p225_003.wav,tsm,HPS,rt_down,-22.62869644165039
p225/p225_121.wav,tsm,HPS,rt_down,-22.845075607299805
p225/p225_094.wav,tsm,HPS,rt_down,-7.079237937927246
p225/p225_349.wav,tsm,HPS,rt_down,-70.71321105957031
p225/p225_176.wav,tsm,HPS,rt_down,-15.232523918151855
p225/p225_173.wav,tsm,HPS,rt_down,-27.081506729125977
