file,type,algo,factor,sisnr_score
p225/p225_039.wav,tsm,HPS,rt_up,-7.592221260070801
p225/p225_011.wav,tsm,HPS,rt_up,-37.119407653808594
p225/p225_005.wav,tsm,HPS,rt_up,-39.503108978271484
p225/p225_004.wav,tsm,HPS,rt_up,-12.024889945983887
p225/p225_010.wav,tsm,HPS,rt_up,-9.73169994354248
p225/p225_038.wav,tsm,HPS,rt_up,-6.019258499145508
p225/p225_006.wav,tsm,HPS,rt_up,-20.67958641052246
p225/p225_012.wav,tsm,HPS,rt_up,-12.876903533935547
p225/p225_013.wav,tsm,HPS,rt_up,-14.217456817626953
p225/p225_007.wav,tsm,HPS,rt_up,-34.642494201660156
p225/p225_003.wav,tsm,HPS,rt_up,-23.234750747680664
p225/p225_017.wav,tsm,HPS,rt_up,-73.03860473632812
p225/p225_016.wav,tsm,HPS,rt_up,-12.420960426330566
p225/p225_002.wav,tsm,HPS,rt_up,-27.791688919067383
p225/p225_014.wav,tsm,HPS,rt_up,-31.992694854736328
p225/p225_028.wav,tsm,HPS,rt_up,-14.657864570617676
p225/p225_029.wav,tsm,HPS,rt_up,-8.191664695739746
p225/p225_001.wav,tsm,HPS,rt_up,-11.599905014038086
p225/p225_072.wav,tsm,HPS,rt_up,-9.401490211486816
p225/p225_066.wav,tsm,HPS,rt_up,-14.435406684875488
p225/p225_067.wav,tsm,HPS,rt_up,-12.754373550415039
p225/p225_073.wav,tsm,HPS,rt_up,1.8297903537750244
p225/p225_059.wav,tsm,HPS,rt_up,-36.155391693115234
p225/p225_065.wav,tsm,HPS,rt_up,-13.120025634765625
p225/p225_071.wav,tsm,HPS,rt_up,-4.164438724517822
p225/p225_070.wav,tsm,HPS,rt_up,-18.479541778564453
p225/p225_064.wav,tsm,HPS,rt_up,-50.65442657470703
p225/p225_058.wav,tsm,HPS,rt_up,-9.898792266845703
p225/p225_060.wav,tsm,HPS,rt_up,-23.439157485961914
p225/p225_049.wav,tsm,HPS,rt_up,-9.141983985900879
p225/p225_061.wav,tsm,HPS,rt_up,-13.380821228027344
p225/p225_063.wav,tsm,HPS,rt_up,-11.692303657531738
p225/p225_089.wav,tsm,HPS,rt_up,-13.21914291381836
p225/p225_062.wav,tsm,HPS,rt_up,-20.452899932861328
p225/p225_053.wav,tsm,HPS,rt_up,-10.031875610351562
p225/p225_090.wav,tsm,HPS,rt_up,-14.758769035339355
p225/p225_084.wav,tsm,HPS,rt_up,-7.997470855712891
p225/p225_046.wav,tsm,HPS,rt_up,-4.087174415588379
p225/p225_052.wav,tsm,HPS,rt_up,-16.66115379333496
p225/p225_044.wav,tsm,HPS,rt_up,-14.077442169189453
p225/p225_092.wav,tsm,HPS,rt_up,-12.996082305908203
p225/p225_086.wav,tsm,HPS,rt_up,-15.133230209350586
p225/p225_051.wav,tsm,HPS,rt_up,-28.391036987304688
p225/p225_045.wav,tsm,HPS,rt_up,-20.8891658782959
p225/p225_082.wav,tsm,HPS,rt_up,-12.515630722045898
p225/p225_083.wav,tsm,HPS,rt_up,-25.81782341003418
p225/p225_054.wav,tsm,HPS,rt_up,-9.730907440185547
p225/p225_040.wav,tsm,HPS,rt_up,-12.631627082824707
p225/p225_056.wav,tsm,HPS,rt_up,-19.10980796813965
p225/p225_081.wav,tsm,HPS,rt_up,-20.75003433227539
p225/p225_094.wav,tsm,HPS,rt_up,-6.065931797027588
p225/p225_057.wav,tsm,HPS,rt_up,-13.020600318908691
p225/p225_018.wav,tsm,HPS,rt_up,-19.772876739501953
p225/p225_030.wav,tsm,HPS,rt_up,-28.852338790893555
p225/p225_024.wav,tsm,HPS,rt_up,-13.509015083312988
p225/p225_025.wav,tsm,HPS,rt_up,-5.308177471160889
p225/p225_019.wav,tsm,HPS,rt_up,-30.365970611572266
p225/p225_027.wav,tsm,HPS,rt_up,-19.214879989624023
p225/p225_033.wav,tsm,HPS,rt_up,-28.277462005615234
p225/p225_026.wav,tsm,HPS,rt_up,-19.8572998046875
p225/p225_022.wav,tsm,HPS,rt_up,-15.701966285705566
p225/p225_036.wav,tsm,HPS,rt_up,-5.742833614349365
p225/p225_037.wav,tsm,HPS,rt_up,-12.401435852050781
p225/p225_023.wav,tsm,HPS,rt_up,-34.975738525390625
p225/p225_035.wav,tsm,HPS,rt_up,-26.613739013671875
p225/p225_021.wav,tsm,HPS,rt_up,-38.4537467956543
p225/p225_009.wav,tsm,HPS,rt_up,-9.262792587280273
p225/p225_008.wav,tsm,HPS,rt_up,-51.871646881103516
p225/p225_020.wav,tsm,HPS,rt_up,-13.597835540771484
