file,type,algo,factor,sisnr_score
p225/p225_315.wav,ps,LibrosaPS,rt_down,-17.956037521362305
p225/p225_293.wav,ps,LibrosaPS,rt_down,-23.72481918334961
p225/p225_018.wav,ps,LibrosaPS,rt_down,-50.948238372802734
p225/p225_071.wav,ps,LibrosaPS,rt_down,-10.983274459838867
p225/p225_324.wav,ps,LibrosaPS,rt_down,-9.974956512451172
p225/p225_222.wav,ps,LibrosaPS,rt_down,-22.945240020751953
p225/p225_023.wav,ps,LibrosaPS,rt_down,-26.87398910522461
p225/p225_257.wav,ps,LibrosaPS,rt_down,-9.841154098510742
p225/p225_220.wav,ps,LibrosaPS,rt_down,-16.71969985961914
p225/p225_040.wav,ps,LibrosaPS,rt_down,-50.3367805480957
p225/p225_046.wav,ps,LibrosaPS,rt_down,-26.237285614013672
p225/p225_067.wav,ps,LibrosaPS,rt_down,-19.727222442626953
p225/p225_191.wav,ps,LibrosaPS,rt_down,-4.250288486480713
p225/p225_169.wav,ps,LibrosaPS,rt_down,-57.44883728027344
p225/p225_298.wav,ps,LibrosaPS,rt_down,-20.73305892944336
p225/p225_150.wav,ps,LibrosaPS,rt_down,-12.681486129760742
p225/p225_059.wav,ps,LibrosaPS,rt_down,-34.079402923583984
p225/p225_238.wav,ps,LibrosaPS,rt_down,-29.428388595581055
p225/p225_300.wav,ps,LibrosaPS,rt_down,-18.96238899230957
p225/p225_038.wav,ps,LibrosaPS,rt_down,-14.310186386108398
p225/p225_004.wav,ps,LibrosaPS,rt_down,-29.833484649658203
p225/p225_172.wav,ps,LibrosaPS,rt_down,-10.240702629089355
p225/p225_058.wav,ps,LibrosaPS,rt_down,-22.513927459716797
p225/p225_212.wav,ps,LibrosaPS,rt_down,-27.958620071411133
p225/p225_072.wav,ps,LibrosaPS,rt_down,-22.97714614868164
p225/p225_171.wav,ps,LibrosaPS,rt_down,-19.420122146606445
p225/p225_014.wav,ps,LibrosaPS,rt_down,-42.9051513671875
