file,type,algo,factor,sisnr_score
p225/p225_315.wav,ps,LibrosaPS,rt_up,-13.176268577575684
p225/p225_293.wav,ps,LibrosaPS,rt_up,-34.59772491455078
p225/p225_018.wav,ps,LibrosaPS,rt_up,-22.302284240722656
p225/p225_071.wav,ps,LibrosaPS,rt_up,-21.443073272705078
p225/p225_324.wav,ps,LibrosaPS,rt_up,-29.688716888427734
p225/p225_222.wav,ps,LibrosaPS,rt_up,-18.688669204711914
p225/p225_023.wav,ps,LibrosaPS,rt_up,-53.272953033447266
p225/p225_257.wav,ps,LibrosaPS,rt_up,-11.093531608581543
p225/p225_220.wav,ps,LibrosaPS,rt_up,-24.432350158691406
p225/p225_040.wav,ps,LibrosaPS,rt_up,-12.767991065979004
p225/p225_046.wav,ps,LibrosaPS,rt_up,-30.84303092956543
p225/p225_067.wav,ps,LibrosaPS,rt_up,-13.359122276306152
p225/p225_191.wav,ps,LibrosaPS,rt_up,-12.06016731262207
p225/p225_169.wav,ps,LibrosaPS,rt_up,-18.50004005432129
p225/p225_298.wav,ps,LibrosaPS,rt_up,-29.57645606994629
p225/p225_150.wav,ps,LibrosaPS,rt_up,-18.80066680908203
p225/p225_059.wav,ps,LibrosaPS,rt_up,-20.532567977905273
p225/p225_238.wav,ps,LibrosaPS,rt_up,-47.905235290527344
p225/p225_300.wav,ps,LibrosaPS,rt_up,-36.71082305908203
p225/p225_038.wav,ps,LibrosaPS,rt_up,-13.12541389465332
p225/p225_004.wav,ps,LibrosaPS,rt_up,-52.18391418457031
p225/p225_172.wav,ps,LibrosaPS,rt_up,-17.84115982055664
p225/p225_058.wav,ps,LibrosaPS,rt_up,-31.2073974609375
p225/p225_212.wav,ps,LibrosaPS,rt_up,-29.88626480102539
p225/p225_072.wav,ps,LibrosaPS,rt_up,-18.061412811279297
p225/p225_171.wav,ps,LibrosaPS,rt_up,-19.30638885498047
p225/p225_014.wav,ps,LibrosaPS,rt_up,-10.63891887664795
p225/p225_177.wav,ps,LibrosaPS,rt_up,-20.985496520996094
p225/p225_141.wav,ps,LibrosaPS,rt_up,-33.1634407043457
p225/p225_092.wav,ps,LibrosaPS,rt_up,-19.763267517089844
p225/p225_310.wav,ps,LibrosaPS,rt_up,-10.237810134887695
p225/p225_011.wav,ps,LibrosaPS,rt_up,-20.461624145507812
p225/p225_200.wav,ps,LibrosaPS,rt_up,-13.536710739135742
p225/p225_114.wav,ps,LibrosaPS,rt_up,-19.70844078063965
p225/p225_355.wav,ps,LibrosaPS,rt_up,-39.36251449584961
