file,type,algo,factor,sisnr_score
p225/p225_315.wav,tsm,NM,rt_down,-11.73916244506836
p225/p225_293.wav,tsm,NM,rt_down,-15.968446731567383
p225/p225_018.wav,tsm,NM,rt_down,-14.213833808898926
p225/p225_071.wav,tsm,NM,rt_down,-6.374873638153076
p225/p225_324.wav,tsm,NM,rt_down,-30.245689392089844
p225/p225_222.wav,tsm,NM,rt_down,-3.554677963256836
p225/p225_023.wav,tsm,NM,rt_down,-21.019996643066406
p225/p225_257.wav,tsm,NM,rt_down,-8.602076530456543
p225/p225_220.wav,tsm,NM,rt_down,-13.126025199890137
p225/p225_040.wav,tsm,NM,rt_down,-18.814979553222656
p225/p225_046.wav,tsm,NM,rt_down,-7.998847484588623
p225/p225_067.wav,tsm,NM,rt_down,-15.374357223510742
p225/p225_191.wav,tsm,NM,rt_down,-7.38699197769165
p225/p225_169.wav,tsm,NM,rt_down,-19.476783752441406
p225/p225_298.wav,tsm,NM,rt_down,-26.182363510131836
p225/p225_150.wav,tsm,NM,rt_down,-19.328083038330078
p225/p225_059.wav,tsm,NM,rt_down,-36.27653503417969
p225/p225_238.wav,tsm,NM,rt_down,-8.96508502960205
p225/p225_300.wav,tsm,NM,rt_down,-5.956106662750244
p225/p225_038.wav,tsm,NM,rt_down,-13.81974983215332
p225/p225_004.wav,tsm,NM,rt_down,-21.571578979492188
p225/p225_172.wav,tsm,NM,rt_down,-23.86591148376465
p225/p225_058.wav,tsm,NM,rt_down,-17.86050033569336
p225/p225_212.wav,tsm,NM,rt_down,-20.526336669921875
p225/p225_072.wav,tsm,NM,rt_down,-9.64769458770752
p225/p225_171.wav,tsm,NM,rt_down,-14.438549041748047
p225/p225_014.wav,tsm,NM,rt_down,-18.916431427001953
p225/p225_177.wav,tsm,NM,rt_down,-6.919893264770508
p225/p225_141.wav,tsm,NM,rt_down,-17.885496139526367
p225/p225_092.wav,tsm,NM,rt_down,-21.310176849365234
p225/p225_310.wav,tsm,NM,rt_down,-29.252613067626953
p225/p225_011.wav,tsm,NM,rt_down,-18.857309341430664
p225/p225_200.wav,tsm,NM,rt_down,-22.445161819458008
p225/p225_114.wav,tsm,NM,rt_down,-12.449078559875488
p225/p225_355.wav,tsm,NM,rt_down,-15.505156517028809
p225/p225_003.wav,tsm,NM,rt_down,-16.526268005371094
p225/p225_121.wav,tsm,NM,rt_down,-8.417488098144531
