file,type,algo,factor,sisnr_score
p225/p225_315.wav,ps,PVPS,rt_up,-21.530101776123047
p225/p225_293.wav,ps,PVPS,rt_up,-27.391277313232422
p225/p225_018.wav,ps,PVPS,rt_up,-22.753841400146484
p225/p225_071.wav,ps,PVPS,rt_up,-44.213134765625
p225/p225_324.wav,ps,PVPS,rt_up,-12.863163948059082
p225/p225_222.wav,ps,PVPS,rt_up,-20.735958099365234
p225/p225_023.wav,ps,PVPS,rt_up,-25.18368148803711
p225/p225_257.wav,ps,PVPS,rt_up,-50.3349609375
p225/p225_220.wav,ps,PVPS,rt_up,-14.47757339477539
p225/p225_040.wav,ps,PVPS,rt_up,-28.358314514160156
p225/p225_046.wav,ps,PVPS,rt_up,-17.281810760498047
p225/p225_067.wav,ps,PVPS,rt_up,-10.144332885742188
p225/p225_191.wav,ps,PVPS,rt_up,-51.94608688354492
p225/p225_169.wav,ps,PVPS,rt_up,-29.019561767578125
p225/p225_298.wav,ps,PVPS,rt_up,-18.742555618286133
p225/p225_150.wav,ps,PVPS,rt_up,-20.24481201171875
p225/p225_059.wav,ps,PVPS,rt_up,-18.86798095703125
p225/p225_238.wav,ps,PVPS,rt_up,-17.068899154663086
p225/p225_300.wav,ps,PVPS,rt_up,-27.669994354248047
p225/p225_038.wav,ps,PVPS,rt_up,-16.794702529907227
p225/p225_004.wav,ps,PVPS,rt_up,-28.13459014892578
p225/p225_172.wav,ps,PVPS,rt_up,-17.29612922668457
p225/p225_058.wav,ps,PVPS,rt_up,-22.111732482910156
p225/p225_212.wav,ps,PVPS,rt_up,-24.271974563598633
p225/p225_072.wav,ps,PVPS,rt_up,-18.167186737060547
p225/p225_171.wav,ps,PVPS,rt_up,-18.50611114501953
p225/p225_014.wav,ps,PVPS,rt_up,-26.401268005371094
p225/p225_177.wav,ps,PVPS,rt_up,-48.85280227661133
p225/p225_141.wav,ps,PVPS,rt_up,-29.665931701660156
p225/p225_092.wav,ps,PVPS,rt_up,-10.2899169921875
p225/p225_310.wav,ps,PVPS,rt_up,-21.70955467224121
p225/p225_011.wav,ps,PVPS,rt_up,-42.47883224487305
p225/p225_200.wav,ps,PVPS,rt_up,-14.157577514648438
p225/p225_114.wav,ps,PVPS,rt_up,-35.229644775390625
p225/p225_355.wav,ps,PVPS,rt_up,-12.829072952270508
p225/p225_003.wav,ps,PVPS,rt_up,-38.384033203125
p225/p225_121.wav,ps,PVPS,rt_up,-25.849720001220703
p225/p225_094.wav,ps,PVPS,rt_up,-20.757415771484375
p225/p225_349.wav,ps,PVPS,rt_up,-14.044031143188477
p225/p225_176.wav,ps,PVPS,rt_up,-19.127742767333984
p225/p225_173.wav,ps,PVPS,rt_up,-21.646146774291992
p225/p225_350.wav,ps,PVPS,rt_up,-16.93926429748535
p225/p225_275.wav,ps,PVPS,rt_up,-17.011951446533203
p225/p225_334.wav,ps,PVPS,rt_up,-26.84375762939453
