file,type,algo,factor,sisnr_score
p225/p225_039.wav,tsm,PV,rt_up,-14.471053123474121
p225/p225_011.wav,tsm,PV,rt_up,-24.24821662902832
p225/p225_005.wav,tsm,PV,rt_up,-23.177736282348633
p225/p225_004.wav,tsm,PV,rt_up,-9.419181823730469
p225/p225_010.wav,tsm,PV,rt_up,-15.849370956420898
p225/p225_038.wav,tsm,PV,rt_up,-7.9721221923828125
p225/p225_006.wav,tsm,PV,rt_up,-19.352828979492188
p225/p225_012.wav,tsm,PV,rt_up,-13.368963241577148
p225/p225_013.wav,tsm,PV,rt_up,-19.113445281982422
p225/p225_007.wav,tsm,PV,rt_up,-11.791322708129883
p225/p225_003.wav,tsm,PV,rt_up,-16.552078247070312
p225/p225_017.wav,tsm,PV,rt_up,-18.835926055908203
p225/p225_016.wav,tsm,PV,rt_up,-16.120136260986328
p225/p225_002.wav,tsm,PV,rt_up,-17.72467803955078
p225/p225_014.wav,tsm,PV,rt_up,-15.234395027160645
p225/p225_028.wav,tsm,PV,rt_up,-9.567922592163086
p225/p225_029.wav,tsm,PV,rt_up,-21.006576538085938
p225/p225_001.wav,tsm,PV,rt_up,-10.168789863586426
p225/p225_072.wav,tsm,PV,rt_up,-22.499868392944336
p225/p225_066.wav,tsm,PV,rt_up,-14.309925079345703
p225/p225_067.wav,tsm,PV,rt_up,-15.503772735595703
p225/p225_073.wav,tsm,PV,rt_up,-7.538319110870361
p225/p225_059.wav,tsm,PV,rt_up,-9.154762268066406
p225/p225_065.wav,tsm,PV,rt_up,-25.134490966796875
p225/p225_071.wav,tsm,PV,rt_up,-12.130386352539062
p225/p225_070.wav,tsm,PV,rt_up,-3.0952272415161133
p225/p225_064.wav,tsm,PV,rt_up,-20.59943199157715
p225/p225_058.wav,tsm,PV,rt_up,-12.794075012207031
p225/p225_060.wav,tsm,PV,rt_up,-23.581504821777344
p225/p225_049.wav,tsm,PV,rt_up,-1.6447761058807373
p225/p225_061.wav,tsm,PV,rt_up,-17.074010848999023
p225/p225_063.wav,tsm,PV,rt_up,-27.25281524658203
p225/p225_089.wav,tsm,PV,rt_up,-72.92744445800781
p225/p225_062.wav,tsm,PV,rt_up,-32.24848937988281
p225/p225_053.wav,tsm,PV,rt_up,-12.38819694519043
p225/p225_090.wav,tsm,PV,rt_up,-17.4705810546875
p225/p225_084.wav,tsm,PV,rt_up,-12.987698554992676
p225/p225_046.wav,tsm,PV,rt_up,-11.039947509765625
p225/p225_052.wav,tsm,PV,rt_up,-20.615827560424805
p225/p225_044.wav,tsm,PV,rt_up,-6.963358402252197
p225/p225_092.wav,tsm,PV,rt_up,-13.837891578674316
p225/p225_086.wav,tsm,PV,rt_up,-11.558788299560547
p225/p225_051.wav,tsm,PV,rt_up,-6.2631754875183105
p225/p225_045.wav,tsm,PV,rt_up,-32.584739685058594
p225/p225_082.wav,tsm,PV,rt_up,-10.636795043945312
p225/p225_083.wav,tsm,PV,rt_up,-15.062408447265625
p225/p225_054.wav,tsm,PV,rt_up,-9.201083183288574
p225/p225_040.wav,tsm,PV,rt_up,-3.1088547706604004
p225/p225_056.wav,tsm,PV,rt_up,-10.236837387084961
p225/p225_081.wav,tsm,PV,rt_up,-26.99672508239746
p225/p225_094.wav,tsm,PV,rt_up,-5.89108419418335
p225/p225_057.wav,tsm,PV,rt_up,-6.886745452880859
p225/p225_018.wav,tsm,PV,rt_up,-11.030717849731445
p225/p225_030.wav,tsm,PV,rt_up,-25.85204315185547
p225/p225_024.wav,tsm,PV,rt_up,-14.293856620788574
p225/p225_025.wav,tsm,PV,rt_up,-12.323298454284668
p225/p225_019.wav,tsm,PV,rt_up,-22.654029846191406
p225/p225_027.wav,tsm,PV,rt_up,-32.41641616821289
p225/p225_033.wav,tsm,PV,rt_up,-11.557703018188477
p225/p225_026.wav,tsm,PV,rt_up,-17.070924758911133
p225/p225_022.wav,tsm,PV,rt_up,-19.305139541625977
p225/p225_036.wav,tsm,PV,rt_up,-7.484231948852539
p225/p225_037.wav,tsm,PV,rt_up,-7.95546293258667
p225/p225_023.wav,tsm,PV,rt_up,-42.57378387451172
p225/p225_035.wav,tsm,PV,rt_up,-16.356510162353516
p225/p225_021.wav,tsm,PV,rt_up,-30.137157440185547
p225/p225_009.wav,tsm,PV,rt_up,-18.571638107299805
p225/p225_008.wav,tsm,PV,rt_up,-24.225980758666992
p225/p225_020.wav,tsm,PV,rt_up,-20.053083419799805
