file,type,algo,factor,sisnr_score
p225/p225_315.wav,tsm,TSMNET,rt_up,-0.7614984512329102
p225/p225_293.wav,tsm,TSMNET,rt_up,0.4132576286792755
p225/p225_018.wav,tsm,TSMNET,rt_up,-0.3057001531124115
p225/p225_071.wav,tsm,TSMNET,rt_up,1.9166419506072998
p225/p225_324.wav,tsm,TSMNET,rt_up,0.09666776657104492
p225/p225_222.wav,tsm,TSMNET,rt_up,-0.9107041358947754
p225/p225_023.wav,tsm,TSMNET,rt_up,-1.338700771331787
p225/p225_257.wav,tsm,TSMNET,rt_up,3.3168509006500244
p225/p225_220.wav,tsm,TSMNET,rt_up,-0.39243924617767334
p225/p225_040.wav,tsm,TSMNET,rt_up,5.525230884552002
p225/p225_046.wav,tsm,TSMNET,rt_up,0.9804647564888
p225/p225_067.wav,tsm,TSMNET,rt_up,3.6098484992980957
p225/p225_191.wav,tsm,TSMNET,rt_up,5.285660743713379
p225/p225_169.wav,tsm,TSMNET,rt_up,1.3659732341766357
p225/p225_298.wav,tsm,TSMNET,rt_up,1.9214398860931396
p225/p225_150.wav,tsm,TSMNET,rt_up,2.36781644821167
p225/p225_059.wav,tsm,TSMNET,rt_up,-1.2682677507400513
p225/p225_238.wav,tsm,TSMNET,rt_up,-0.38180291652679443
p225/p225_300.wav,tsm,TSMNET,rt_up,2.949939727783203
p225/p225_038.wav,tsm,TSMNET,rt_up,3.9107751846313477
p225/p225_004.wav,tsm,TSMNET,rt_up,1.9253610372543335
p225/p225_172.wav,tsm,TSMNET,rt_up,1.1512459516525269
p225/p225_058.wav,tsm,TSMNET,rt_up,3.2498791217803955
p225/p225_212.wav,tsm,TSMNET,rt_up,5.881263732910156
p225/p225_072.wav,tsm,TSMNET,rt_up,0.9216762185096741
p225/p225_171.wav,tsm,TSMNET,rt_up,0.10477705299854279
p225/p225_014.wav,tsm,TSMNET,rt_up,-0.2614733874797821
p225/p225_177.wav,tsm,TSMNET,rt_up,2.094586133956909
p225/p225_141.wav,tsm,TSMNET,rt_up,1.8525434732437134
p225/p225_092.wav,tsm,TSMNET,rt_up,4.09157133102417
p225/p225_310.wav,tsm,TSMNET,rt_up,0.7877665162086487
p225/p225_011.wav,tsm,TSMNET,rt_up,1.2613834142684937
p225/p225_200.wav,tsm,TSMNET,rt_up,6.057801246643066
p225/p225_114.wav,tsm,TSMNET,rt_up,0.7089329361915588
p225/p225_355.wav,tsm,TSMNET,rt_up,2.6364662647247314
p225/p225_003.wav,tsm,TSMNET,rt_up,2.739382028579712
p225/p225_121.wav,tsm,TSMNET,rt_up,1.7712914943695068
p225/p225_094.wav,tsm,TSMNET,rt_up,5.54516077041626
p225/p225_349.wav,tsm,TSMNET,rt_up,-0.11304203420877457
p225/p225_176.wav,tsm,TSMNET,rt_up,-1.753448247909546
p225/p225_173.wav,tsm,TSMNET,rt_up,-0.30061691999435425
p225/p225_350.wav,tsm,TSMNET,rt_up,2.9069061279296875
p225/p225_275.wav,tsm,TSMNET,rt_up,0.44176989793777466
p225/p225_334.wav,tsm,TSMNET,rt_up,-2.1818675994873047
p225/p225_045.wav,tsm,TSMNET,rt_up,0.7408547401428223
p225/p225_165.wav,tsm,TSMNET,rt_up,3.357855796813965
p225/p225_282.wav,tsm,TSMNET,rt_up,1.0163006782531738
p225/p225_264.wav,tsm,TSMNET,rt_up,1.350014090538025
p225/p225_127.wav,tsm,TSMNET,rt_up,2.096060276031494
p225/p225_051.wav,tsm,TSMNET,rt_up,5.314318656921387
p225/p225_002.wav,tsm,TSMNET,rt_up,2.311671495437622
p225/p225_153.wav,tsm,TSMNET,rt_up,3.018265724182129
p225/p225_299.wav,tsm,TSMNET,rt_up,1.5318706035614014
p225/p225_201.wav,tsm,TSMNET,rt_up,4.741543292999268
p225/p225_104.wav,tsm,TSMNET,rt_up,1.0369893312454224
p225/p225_358.wav,tsm,TSMNET,rt_up,1.4590269327163696
p225/p225_022.wav,tsm,TSMNET,rt_up,-0.06375034153461456
p225/p225_005.wav,tsm,TSMNET,rt_up,-2.125469207763672
p225/p225_290.wav,tsm,TSMNET,rt_up,1.166367769241333
p225/p225_254.wav,tsm,TSMNET,rt_up,2.807309865951538
p225/p225_057.wav,tsm,TSMNET,rt_up,2.6864418983459473
p225/p225_322.wav,tsm,TSMNET,rt_up,-0.1553480178117752
p225/p225_116.wav,tsm,TSMNET,rt_up,0.6519519090652466
p225/p225_286.wav,tsm,TSMNET,rt_up,0.2638969421386719
