file,mode,type,algo,pred_distance
p225_039.wav,ref,ps,PSOLA,0.8905211671362624
p225_011.wav,ref,ps,PSOLA,0.8848924926987128
p225_005.wav,ref,ps,PSOLA,0.8657367611375939
p225_004.wav,ref,ps,PSOLA,0.9211478013528804
p225_010.wav,ref,ps,PSOLA,0.8188569993382042
p225_038.wav,ref,ps,PSOLA,0.8879825186174174
p225_006.wav,ref,ps,PSOLA,0.8448251566011324
p225_012.wav,ref,ps,PSOLA,0.8592914496275984
p225_013.wav,ref,ps,PSOLA,0.868936777284347
p225_007.wav,ref,ps,PSOLA,0.8525277691666677
p225_003.wav,ref,ps,PSOLA,0.8912177183062198
p225_017.wav,ref,ps,PSOLA,0.8607572349861025
p225_016.wav,ref,ps,PSOLA,0.8683635786633065
p225_002.wav,ref,ps,PSOLA,0.8899723856249102
p225_014.wav,ref,ps,PSOLA,0.8649810173582199
p225_028.wav,ref,ps,PSOLA,0.9009833033427606
p225_029.wav,ref,ps,PSOLA,0.8349280483478907
p225_001.wav,ref,ps,PSOLA,0.8545412178926881
p225_072.wav,ref,ps,PSOLA,0.8393569289752019
p225_066.wav,ref,ps,PSOLA,0.8533486361761166
p225_067.wav,ref,ps,PSOLA,0.8466149176985353
p225_073.wav,ref,ps,PSOLA,0.8719311541170436
p225_059.wav,ref,ps,PSOLA,0.8172997246774325
p225_065.wav,ref,ps,PSOLA,0.9194483736028758
p225_071.wav,ref,ps,PSOLA,0.8675836159020621
p225_070.wav,ref,ps,PSOLA,0.8712952708896885
p225_064.wav,ref,ps,PSOLA,0.8934258314434044
p225_058.wav,ref,ps,PSOLA,0.9005246734543487
p225_104.wav,ref,ps,PSOLA,0.8925428389294118
p225_110.wav,ref,ps,PSOLA,0.8979699686509922
p225_060.wav,ref,ps,PSOLA,0.8728417316876652
p225_049.wav,ref,ps,PSOLA,0.90389250197624
p225_061.wav,ref,ps,PSOLA,0.8477541728692637
p225_103.wav,ref,ps,PSOLA,0.8604514227970088
p225_063.wav,ref,ps,PSOLA,0.8687780984394124
p225_089.wav,ref,ps,PSOLA,0.8528134846582022
p225_062.wav,ref,ps,PSOLA,0.8632666015707507
p225_053.wav,ref,ps,PSOLA,0.8718851008789645
p225_090.wav,ref,ps,PSOLA,0.8948203975682837
p225_084.wav,ref,ps,PSOLA,0.8949140002139798
p225_046.wav,ref,ps,PSOLA,0.8387997784059251
p225_052.wav,ref,ps,PSOLA,0.8530348557005875
p225_044.wav,ref,ps,PSOLA,0.8999361765608651
p225_092.wav,ref,ps,PSOLA,0.8455867739121455
p225_086.wav,ref,ps,PSOLA,0.8835736233980962
p225_051.wav,ref,ps,PSOLA,0.8759271301582799
p225_045.wav,ref,ps,PSOLA,0.8698146447710652
p225_109.wav,ref,ps,PSOLA,0.8811357875631383
p225_082.wav,ref,ps,PSOLA,0.8510495224990332
p225_083.wav,ref,ps,PSOLA,0.8701327649457137
p225_054.wav,ref,ps,PSOLA,0.8684589278709104
p225_040.wav,ref,ps,PSOLA,0.8551277261525102
p225_108.wav,ref,ps,PSOLA,0.8703176559918756
p225_056.wav,ref,ps,PSOLA,0.8677017215711297
p225_081.wav,ref,ps,PSOLA,0.8566377738431714
p225_094.wav,ref,ps,PSOLA,0.892667331635226
p225_057.wav,ref,ps,PSOLA,0.849016851408744
p225_018.wav,ref,ps,PSOLA,0.8739799232138875
p225_030.wav,ref,ps,PSOLA,0.8742019370906069
p225_024.wav,ref,ps,PSOLA,0.7952516041248358
p225_025.wav,ref,ps,PSOLA,0.8886419677023605
p225_019.wav,ref,ps,PSOLA,0.8819266784261324
p225_027.wav,ref,ps,PSOLA,0.8983764254736142
p225_033.wav,ref,ps,PSOLA,0.8989761227324082
p225_026.wav,ref,ps,PSOLA,0.9149909617878815
p225_022.wav,ref,ps,PSOLA,0.8487187701613053
p225_036.wav,ref,ps,PSOLA,0.8622049745035446
p225_037.wav,ref,ps,PSOLA,0.9203045478253407
p225_023.wav,ref,ps,PSOLA,0.8540981670222149
p225_035.wav,ref,ps,PSOLA,0.8612784288770681
p225_021.wav,ref,ps,PSOLA,0.8709890143893373
p225_009.wav,ref,ps,PSOLA,0.8626461552269845
p225_008.wav,ref,ps,PSOLA,0.8461550225253013
p225_020.wav,ref,ps,PSOLA,0.8560728790366845
