file,mode,type,algo,factor,pred_distance
p225/p225_039.wav,ref,ps,NMPS,rt_up,0.8004967686404358
p225/p225_011.wav,ref,ps,NMPS,rt_up,0.7445873664211388
p225/p225_005.wav,ref,ps,NMPS,rt_up,0.6771835448770831
p225/p225_004.wav,ref,ps,NMPS,rt_up,0.7968399277404725
p225/p225_010.wav,ref,ps,NMPS,rt_up,0.7914296101855607
p225/p225_038.wav,ref,ps,NMPS,rt_up,0.7470464939138196
p225/p225_006.wav,ref,ps,NMPS,rt_up,0.638837283193521
p225/p225_012.wav,ref,ps,NMPS,rt_up,0.6639729103701257
p225/p225_013.wav,ref,ps,NMPS,rt_up,0.7346481342182465
p225/p225_007.wav,ref,ps,NMPS,rt_up,0.6273412731080059
p225/p225_003.wav,ref,ps,NMPS,rt_up,0.7203325107867289
p225/p225_017.wav,ref,ps,NMPS,rt_up,0.7322491320737634
p225/p225_016.wav,ref,ps,NMPS,rt_up,0.6785576375682549
p225/p225_002.wav,ref,ps,NMPS,rt_up,0.7773824482263364
p225/p225_014.wav,ref,ps,NMPS,rt_up,0.688820010216887
p225/p225_028.wav,ref,ps,NMPS,rt_up,0.7759910785917894
p225/p225_029.wav,ref,ps,NMPS,rt_up,0.5013067819262853
p225/p225_001.wav,ref,ps,NMPS,rt_up,0.7942404131568322
p225/p225_072.wav,ref,ps,NMPS,rt_up,0.5547412022451393
p225/p225_066.wav,ref,ps,NMPS,rt_up,0.530493563089409
p225/p225_067.wav,ref,ps,NMPS,rt_up,0.8061576915694835
p225/p225_073.wav,ref,ps,NMPS,rt_up,0.8227073265948277
p225/p225_059.wav,ref,ps,NMPS,rt_up,0.520853696939501
p225/p225_065.wav,ref,ps,NMPS,rt_up,0.8214516235765971
p225/p225_071.wav,ref,ps,NMPS,rt_up,0.5955947663681709
p225/p225_070.wav,ref,ps,NMPS,rt_up,0.6652551104937988
p225/p225_064.wav,ref,ps,NMPS,rt_up,0.8066022902908461
p225/p225_058.wav,ref,ps,NMPS,rt_up,0.8264706448078779
p225/p225_060.wav,ref,ps,NMPS,rt_up,0.8039315859016996
p225/p225_049.wav,ref,ps,NMPS,rt_up,0.7523036353493913
p225/p225_061.wav,ref,ps,NMPS,rt_up,0.6510140827330546
p225/p225_063.wav,ref,ps,NMPS,rt_up,0.7784902359581137
p225/p225_089.wav,ref,ps,NMPS,rt_up,0.5718176804579936
p225/p225_062.wav,ref,ps,NMPS,rt_up,0.7247399568472528
p225/p225_053.wav,ref,ps,NMPS,rt_up,0.7536861229726435
p225/p225_090.wav,ref,ps,NMPS,rt_up,0.6889446218163439
p225/p225_084.wav,ref,ps,NMPS,rt_up,0.7658942771784675
p225/p225_046.wav,ref,ps,NMPS,rt_up,0.5556249819660228
p225/p225_052.wav,ref,ps,NMPS,rt_up,0.6387742235261229
p225/p225_044.wav,ref,ps,NMPS,rt_up,0.8493823905486421
p225/p225_092.wav,ref,ps,NMPS,rt_up,0.5842981125740265
p225/p225_086.wav,ref,ps,NMPS,rt_up,0.7322582106216422
p225/p225_051.wav,ref,ps,NMPS,rt_up,0.709740343264314
p225/p225_045.wav,ref,ps,NMPS,rt_up,0.6648152096426131
p225/p225_082.wav,ref,ps,NMPS,rt_up,0.6898911309383668
p225/p225_083.wav,ref,ps,NMPS,rt_up,0.7424052344357693
p225/p225_054.wav,ref,ps,NMPS,rt_up,0.6034665410836394
p225/p225_040.wav,ref,ps,NMPS,rt_up,0.5892336221214775
p225/p225_056.wav,ref,ps,NMPS,rt_up,0.6771650248730187
p225/p225_081.wav,ref,ps,NMPS,rt_up,0.6657733352044563
p225/p225_094.wav,ref,ps,NMPS,rt_up,0.8437658554340887
p225/p225_057.wav,ref,ps,NMPS,rt_up,0.6707877150781029
p225/p225_018.wav,ref,ps,NMPS,rt_up,0.672644941584733
p225/p225_030.wav,ref,ps,NMPS,rt_up,0.703198125502816
p225/p225_024.wav,ref,ps,NMPS,rt_up,0.6518446624028552
p225/p225_025.wav,ref,ps,NMPS,rt_up,0.6507307764106337
p225/p225_019.wav,ref,ps,NMPS,rt_up,0.783629381076689
p225/p225_027.wav,ref,ps,NMPS,rt_up,0.7015367955529749
p225/p225_033.wav,ref,ps,NMPS,rt_up,0.7407957956131026
p225/p225_026.wav,ref,ps,NMPS,rt_up,0.8310658334051915
p225/p225_022.wav,ref,ps,NMPS,rt_up,0.626072512365303
p225/p225_036.wav,ref,ps,NMPS,rt_up,0.5395810307952958
p225/p225_037.wav,ref,ps,NMPS,rt_up,0.8733818542584885
p225/p225_023.wav,ref,ps,NMPS,rt_up,0.6767517425942418
p225/p225_035.wav,ref,ps,NMPS,rt_up,0.6045339215456149
p225/p225_021.wav,ref,ps,NMPS,rt_up,0.738006467786713
p225/p225_009.wav,ref,ps,NMPS,rt_up,0.7578565249386346
p225/p225_008.wav,ref,ps,NMPS,rt_up,0.69006098892284
p225/p225_020.wav,ref,ps,NMPS,rt_up,0.636933384079901
