file,mode,type,algo,factor,pred_distance
p225/p225_315.wav,ref,tsm,NM,rt_up,0.7370976382163458
p225/p225_293.wav,ref,tsm,NM,rt_up,0.5432281405084264
p225/p225_018.wav,ref,tsm,NM,rt_up,0.7822580753498208
p225/p225_071.wav,ref,tsm,NM,rt_up,0.6829293069666209
p225/p225_324.wav,ref,tsm,NM,rt_up,0.7498074389519191
p225/p225_222.wav,ref,tsm,NM,rt_up,0.6621833942429681
p225/p225_023.wav,ref,tsm,NM,rt_up,0.813326009580432
p225/p225_257.wav,ref,tsm,NM,rt_up,0.4894282057280421
p225/p225_220.wav,ref,tsm,NM,rt_up,0.6090245901501667
p225/p225_040.wav,ref,tsm,NM,rt_up,0.6475412048861247
p225/p225_046.wav,ref,tsm,NM,rt_up,0.6725352877921877
p225/p225_067.wav,ref,tsm,NM,rt_up,0.8632308604724097
p225/p225_191.wav,ref,tsm,NM,rt_up,0.8413223505872737
p225/p225_169.wav,ref,tsm,NM,rt_up,0.8079381398347001
p225/p225_298.wav,ref,tsm,NM,rt_up,0.711603097782482
p225/p225_150.wav,ref,tsm,NM,rt_up,0.8503867485532065
p225/p225_059.wav,ref,tsm,NM,rt_up,0.5993113656921524
p225/p225_238.wav,ref,tsm,NM,rt_up,0.5134554104657931
p225/p225_300.wav,ref,tsm,NM,rt_up,0.5353147958375518
p225/p225_038.wav,ref,tsm,NM,rt_up,0.8722940642401403
p225/p225_004.wav,ref,tsm,NM,rt_up,0.832204436902545
p225/p225_172.wav,ref,tsm,NM,rt_up,0.7590775269611283
p225/p225_058.wav,ref,tsm,NM,rt_up,0.8364347233684912
p225/p225_212.wav,ref,tsm,NM,rt_up,0.7650836235826656
p225/p225_072.wav,ref,tsm,NM,rt_up,0.6527499837737636
p225/p225_171.wav,ref,tsm,NM,rt_up,0.601469230189266
p225/p225_014.wav,ref,tsm,NM,rt_up,0.7901611200376728
p225/p225_177.wav,ref,tsm,NM,rt_up,0.6532456323516803
p225/p225_141.wav,ref,tsm,NM,rt_up,0.7967099913970516
p225/p225_092.wav,ref,tsm,NM,rt_up,0.6504484372847816
p225/p225_310.wav,ref,tsm,NM,rt_up,0.613499369653487
p225/p225_011.wav,ref,tsm,NM,rt_up,0.8029539627303113
p225/p225_200.wav,ref,tsm,NM,rt_up,0.9001923203562492
p225/p225_114.wav,ref,tsm,NM,rt_up,0.49821599722238824
p225/p225_355.wav,ref,tsm,NM,rt_up,0.612740759849718
p225/p225_003.wav,ref,tsm,NM,rt_up,0.801968965400275
p225/p225_121.wav,ref,tsm,NM,rt_up,0.8039038408819754
p225/p225_094.wav,ref,tsm,NM,rt_up,0.8468331290085569
p225/p225_349.wav,ref,tsm,NM,rt_up,0.5914504417780087
p225/p225_176.wav,ref,tsm,NM,rt_up,0.5553480272914725
p225/p225_173.wav,ref,tsm,NM,rt_up,0.7607249887053978
p225/p225_350.wav,ref,tsm,NM,rt_up,0.7097189517222672
p225/p225_275.wav,ref,tsm,NM,rt_up,0.6567437896988968
p225/p225_334.wav,ref,tsm,NM,rt_up,0.7870872608774832
p225/p225_045.wav,ref,tsm,NM,rt_up,0.7942506788724284
p225/p225_165.wav,ref,tsm,NM,rt_up,0.766265459958448
p225/p225_282.wav,ref,tsm,NM,rt_up,0.650805918797406
p225/p225_264.wav,ref,tsm,NM,rt_up,0.7765353432162653
p225/p225_127.wav,ref,tsm,NM,rt_up,0.8344639977200323
p225/p225_051.wav,ref,tsm,NM,rt_up,0.8329905599894639
p225/p225_002.wav,ref,tsm,NM,rt_up,0.840976253095218
p225/p225_153.wav,ref,tsm,NM,rt_up,0.7122312655627683
p225/p225_299.wav,ref,tsm,NM,rt_up,0.7890742564438507
p225/p225_201.wav,ref,tsm,NM,rt_up,0.8013866983701396
p225/p225_104.wav,ref,tsm,NM,rt_up,0.8178484264301062
p225/p225_358.wav,ref,tsm,NM,rt_up,0.6258034761380433
p225/p225_022.wav,ref,tsm,NM,rt_up,0.8204117042320831
p225/p225_005.wav,ref,tsm,NM,rt_up,0.841419509912305
p225/p225_290.wav,ref,tsm,NM,rt_up,0.6202834461916831
p225/p225_254.wav,ref,tsm,NM,rt_up,0.676695079767952
p225/p225_057.wav,ref,tsm,NM,rt_up,0.8278795515739451
p225/p225_322.wav,ref,tsm,NM,rt_up,0.7556400559028091
p225/p225_116.wav,ref,tsm,NM,rt_up,0.8585280791406765
p225/p225_286.wav,ref,tsm,NM,rt_up,0.6448689243161069
p225/p225_123.wav,ref,tsm,NM,rt_up,0.7265703150906159
p225/p225_265.wav,ref,tsm,NM,rt_up,0.5946110299300376
p225/p225_348.wav,ref,tsm,NM,rt_up,0.70407820972217
p225/p225_356.wav,ref,tsm,NM,rt_up,0.621786399405185
p225/p225_277.wav,ref,tsm,NM,rt_up,0.6700687347036148
p225/p225_065.wav,ref,tsm,NM,rt_up,0.8949328199507954
p225/p225_192.wav,ref,tsm,NM,rt_up,0.7855527945349704
p225/p225_225.wav,ref,tsm,NM,rt_up,0.6940981976459063
p225/p225_210.wav,ref,tsm,NM,rt_up,0.5912202643786717
p225/p225_224.wav,ref,tsm,NM,rt_up,0.7061419212406498
p225/p225_128.wav,ref,tsm,NM,rt_up,0.7539388861546203
p225/p225_049.wav,ref,tsm,NM,rt_up,0.8970739327608532
p225/p225_008.wav,ref,tsm,NM,rt_up,0.8418179856941547
p225/p225_239.wav,ref,tsm,NM,rt_up,0.5491758566110115
p225/p225_145.wav,ref,tsm,NM,rt_up,0.7039351402522706
p225/p225_331.wav,ref,tsm,NM,rt_up,0.7359993524949623
p225/p225_366.wav,ref,tsm,NM,rt_up,0.7238699625066242
p225/p225_122.wav,ref,tsm,NM,rt_up,0.8116390991219679
p225/p225_029.wav,ref,tsm,NM,rt_up,0.5222390578275604
p225/p225_026.wav,ref,tsm,NM,rt_up,0.8282443213179563
p225/p225_211.wav,ref,tsm,NM,rt_up,0.7927151417983117
p225/p225_208.wav,ref,tsm,NM,rt_up,0.7810351938306345
p225/p225_335.wav,ref,tsm,NM,rt_up,0.7590664048917374
p225/p225_120.wav,ref,tsm,NM,rt_up,0.7423710097767343
p225/p225_158.wav,ref,tsm,NM,rt_up,0.7286239438370045
p225/p225_066.wav,ref,tsm,NM,rt_up,0.6793471805868092
p225/p225_117.wav,ref,tsm,NM,rt_up,0.6169785868724865
p225/p225_089.wav,ref,tsm,NM,rt_up,0.7583618487935595
p225/p225_312.wav,ref,tsm,NM,rt_up,0.6986564415845958
p225/p225_086.wav,ref,tsm,NM,rt_up,0.7233341535846568
p225/p225_241.wav,ref,tsm,NM,rt_up,0.7976521973176137
p225/p225_012.wav,ref,tsm,NM,rt_up,0.8109713066245233
p225/p225_175.wav,ref,tsm,NM,rt_up,0.7044301607850095
p225/p225_017.wav,ref,tsm,NM,rt_up,0.8654937598240671
p225/p225_142.wav,ref,tsm,NM,rt_up,0.7601318811435631
p225/p225_028.wav,ref,tsm,NM,rt_up,0.8403040849366123
p225/p225_276.wav,ref,tsm,NM,rt_up,0.7411825451914124
p225/p225_309.wav,ref,tsm,NM,rt_up,0.5054857294610631
p225/p225_329.wav,ref,tsm,NM,rt_up,0.6891970917552653
p225/p225_295.wav,ref,tsm,NM,rt_up,0.7448828553065587
p225/p225_056.wav,ref,tsm,NM,rt_up,0.8173620576629294
p225/p225_281.wav,ref,tsm,NM,rt_up,0.5916580261323735
p225/p225_007.wav,ref,tsm,NM,rt_up,0.7425368710075149
p225/p225_110.wav,ref,tsm,NM,rt_up,0.8020740613166017
p225/p225_073.wav,ref,tsm,NM,rt_up,0.7355667139487909
p225/p225_195.wav,ref,tsm,NM,rt_up,0.5941042214223632
p225/p225_193.wav,ref,tsm,NM,rt_up,0.6994312441623021
p225/p225_297.wav,ref,tsm,NM,rt_up,0.7264924784231911
p225/p225_218.wav,ref,tsm,NM,rt_up,0.7852999724716674
p225/p225_242.wav,ref,tsm,NM,rt_up,0.6758540272978839
p225/p225_136.wav,ref,tsm,NM,rt_up,0.7577861088307343
p225/p225_021.wav,ref,tsm,NM,rt_up,0.8327318993913451
p225/p225_024.wav,ref,tsm,NM,rt_up,0.8341307969591617
p225/p225_025.wav,ref,tsm,NM,rt_up,0.8443919295614148
p225/p225_332.wav,ref,tsm,NM,rt_up,0.6849087398502511
p225/p225_347.wav,ref,tsm,NM,rt_up,0.4919335574248845
p225/p225_182.wav,ref,tsm,NM,rt_up,0.8240467822062122
p225/p225_039.wav,ref,tsm,NM,rt_up,0.829096965424774
p225/p225_323.wav,ref,tsm,NM,rt_up,0.6275333070726549
p225/p225_081.wav,ref,tsm,NM,rt_up,0.8334800423929146
p225/p225_064.wav,ref,tsm,NM,rt_up,0.8468525341333861
p225/p225_258.wav,ref,tsm,NM,rt_up,0.6677124789180154
p225/p225_274.wav,ref,tsm,NM,rt_up,0.6424528719025844
p225/p225_118.wav,ref,tsm,NM,rt_up,0.618898596988757
p225/p225_196.wav,ref,tsm,NM,rt_up,0.6264931764940493
p225/p225_285.wav,ref,tsm,NM,rt_up,0.6319246925214344
p225/p225_143.wav,ref,tsm,NM,rt_up,0.6650452066506436
p225/p225_280.wav,ref,tsm,NM,rt_up,0.7292212116385766
p225/p225_147.wav,ref,tsm,NM,rt_up,0.5959554286679759
p225/p225_001.wav,ref,tsm,NM,rt_up,0.8519033928587086
p225/p225_082.wav,ref,tsm,NM,rt_up,0.8667993510030877
p225/p225_243.wav,ref,tsm,NM,rt_up,0.6651050667206738
p225/p225_237.wav,ref,tsm,NM,rt_up,0.7424204189706741
p225/p225_296.wav,ref,tsm,NM,rt_up,0.8418685390810955
p225/p225_202.wav,ref,tsm,NM,rt_up,0.6783271483779979
p225/p225_328.wav,ref,tsm,NM,rt_up,0.6284693505916263
p225/p225_131.wav,ref,tsm,NM,rt_up,0.8216395896909323
p225/p225_151.wav,ref,tsm,NM,rt_up,0.6848348816218623
