file,mode,type,algo,factor,pred_distance
p225/p225_315.wav,ref,ps,PVPS,rt_down,0.7390194948510043
p225/p225_293.wav,ref,ps,PVPS,rt_down,0.6594001534577684
p225/p225_018.wav,ref,ps,PVPS,rt_down,0.8332873488086714
p225/p225_071.wav,ref,ps,PVPS,rt_down,0.6865204731504652
p225/p225_324.wav,ref,ps,PVPS,rt_down,0.7691440979610008
p225/p225_222.wav,ref,ps,PVPS,rt_down,0.7273326229340814
p225/p225_023.wav,ref,ps,PVPS,rt_down,0.8171955696031011
p225/p225_257.wav,ref,ps,PVPS,rt_down,0.6060433630344071
p225/p225_220.wav,ref,ps,PVPS,rt_down,0.6078519614656727
p225/p225_040.wav,ref,ps,PVPS,rt_down,0.6367154155236541
p225/p225_046.wav,ref,ps,PVPS,rt_down,0.7019144417847282
p225/p225_067.wav,ref,ps,PVPS,rt_down,0.8238385184622193
p225/p225_191.wav,ref,ps,PVPS,rt_down,0.8071208071485193
p225/p225_169.wav,ref,ps,PVPS,rt_down,0.7994317829509021
p225/p225_298.wav,ref,ps,PVPS,rt_down,0.7246423547984798
p225/p225_150.wav,ref,ps,PVPS,rt_down,0.7751184333061251
p225/p225_059.wav,ref,ps,PVPS,rt_down,0.625560435988402
p225/p225_238.wav,ref,ps,PVPS,rt_down,0.5659116953507871
p225/p225_300.wav,ref,ps,PVPS,rt_down,0.6537258722664621
p225/p225_038.wav,ref,ps,PVPS,rt_down,0.8361265659010083
p225/p225_004.wav,ref,ps,PVPS,rt_down,0.7991614347090221
p225/p225_172.wav,ref,ps,PVPS,rt_down,0.7950963265566049
p225/p225_058.wav,ref,ps,PVPS,rt_down,0.8569778383525116
p225/p225_212.wav,ref,ps,PVPS,rt_down,0.777674966522943
p225/p225_072.wav,ref,ps,PVPS,rt_down,0.6484011237550639
p225/p225_171.wav,ref,ps,PVPS,rt_down,0.633146869769437
p225/p225_014.wav,ref,ps,PVPS,rt_down,0.7599699133028393
p225/p225_177.wav,ref,ps,PVPS,rt_down,0.6494013264966639
p225/p225_141.wav,ref,ps,PVPS,rt_down,0.7987196870815825
p225/p225_092.wav,ref,ps,PVPS,rt_down,0.685339815957354
p225/p225_310.wav,ref,ps,PVPS,rt_down,0.6566668452334992
