file,mode,type,algo,factor,pred_distance
p225/p225_039.wav,ref,ps,PVPS,rt_up,0.8228104314357021
p225/p225_011.wav,ref,ps,PVPS,rt_up,0.8317487841615314
p225/p225_005.wav,ref,ps,PVPS,rt_up,0.8244753790364023
p225/p225_004.wav,ref,ps,PVPS,rt_up,0.8017861148574229
p225/p225_010.wav,ref,ps,PVPS,rt_up,0.8554522182663543
p225/p225_038.wav,ref,ps,PVPS,rt_up,0.843330332608283
p225/p225_006.wav,ref,ps,PVPS,rt_up,0.8296738671230885
p225/p225_012.wav,ref,ps,PVPS,rt_up,0.8241509285124679
p225/p225_013.wav,ref,ps,PVPS,rt_up,0.8376535534021358
p225/p225_007.wav,ref,ps,PVPS,rt_up,0.791294764011791
p225/p225_003.wav,ref,ps,PVPS,rt_up,0.8310415788024281
p225/p225_017.wav,ref,ps,PVPS,rt_up,0.8095876831814275
p225/p225_016.wav,ref,ps,PVPS,rt_up,0.8250835744285704
p225/p225_002.wav,ref,ps,PVPS,rt_up,0.8363810072253234
p225/p225_014.wav,ref,ps,PVPS,rt_up,0.8040557598334381
p225/p225_028.wav,ref,ps,PVPS,rt_up,0.8060945357602997
p225/p225_029.wav,ref,ps,PVPS,rt_up,0.655519990784688
p225/p225_001.wav,ref,ps,PVPS,rt_up,0.8741525221296745
p225/p225_072.wav,ref,ps,PVPS,rt_up,0.7001496840616913
p225/p225_066.wav,ref,ps,PVPS,rt_up,0.7094664438025581
p225/p225_067.wav,ref,ps,PVPS,rt_up,0.8385747091793164
p225/p225_073.wav,ref,ps,PVPS,rt_up,0.7980121399505213
p225/p225_059.wav,ref,ps,PVPS,rt_up,0.659410855624751
p225/p225_065.wav,ref,ps,PVPS,rt_up,0.8573320392594552
p225/p225_071.wav,ref,ps,PVPS,rt_up,0.7501092041234211
p225/p225_070.wav,ref,ps,PVPS,rt_up,0.6625912827757744
p225/p225_064.wav,ref,ps,PVPS,rt_up,0.8425144976712563
p225/p225_058.wav,ref,ps,PVPS,rt_up,0.8517405518220285
p225/p225_060.wav,ref,ps,PVPS,rt_up,0.8262803303900849
p225/p225_049.wav,ref,ps,PVPS,rt_up,0.8865461014192245
p225/p225_061.wav,ref,ps,PVPS,rt_up,0.8490329453495133
p225/p225_063.wav,ref,ps,PVPS,rt_up,0.8401286321167445
p225/p225_089.wav,ref,ps,PVPS,rt_up,0.7639379060937516
p225/p225_062.wav,ref,ps,PVPS,rt_up,0.8664687465361209
p225/p225_053.wav,ref,ps,PVPS,rt_up,0.8429390183338044
p225/p225_090.wav,ref,ps,PVPS,rt_up,0.785060157593121
p225/p225_084.wav,ref,ps,PVPS,rt_up,0.8356930537876118
p225/p225_046.wav,ref,ps,PVPS,rt_up,0.6993398390352141
p225/p225_052.wav,ref,ps,PVPS,rt_up,0.7676763930834871
p225/p225_044.wav,ref,ps,PVPS,rt_up,0.7887237883411021
p225/p225_092.wav,ref,ps,PVPS,rt_up,0.7125090503893742
p225/p225_086.wav,ref,ps,PVPS,rt_up,0.8202559935760484
p225/p225_051.wav,ref,ps,PVPS,rt_up,0.8411432721194361
p225/p225_045.wav,ref,ps,PVPS,rt_up,0.8376094957468802
p225/p225_082.wav,ref,ps,PVPS,rt_up,0.8534826030846886
p225/p225_083.wav,ref,ps,PVPS,rt_up,0.7995983353042149
p225/p225_054.wav,ref,ps,PVPS,rt_up,0.7740574809606114
p225/p225_040.wav,ref,ps,PVPS,rt_up,0.6736412435816006
p225/p225_056.wav,ref,ps,PVPS,rt_up,0.8311171925757177
p225/p225_081.wav,ref,ps,PVPS,rt_up,0.8248840687783593
p225/p225_094.wav,ref,ps,PVPS,rt_up,0.8191259024587842
p225/p225_057.wav,ref,ps,PVPS,rt_up,0.844141348753978
p225/p225_018.wav,ref,ps,PVPS,rt_up,0.8322929056974402
p225/p225_030.wav,ref,ps,PVPS,rt_up,0.7737611118914425
p225/p225_024.wav,ref,ps,PVPS,rt_up,0.8528950272727228
p225/p225_025.wav,ref,ps,PVPS,rt_up,0.8284549248432554
p225/p225_019.wav,ref,ps,PVPS,rt_up,0.8373904455167401
p225/p225_027.wav,ref,ps,PVPS,rt_up,0.7816432340868931
p225/p225_033.wav,ref,ps,PVPS,rt_up,0.8346564279779762
p225/p225_026.wav,ref,ps,PVPS,rt_up,0.8129060568194234
p225/p225_022.wav,ref,ps,PVPS,rt_up,0.8414251706601259
p225/p225_036.wav,ref,ps,PVPS,rt_up,0.6543951219509063
p225/p225_037.wav,ref,ps,PVPS,rt_up,0.8607744249579378
p225/p225_023.wav,ref,ps,PVPS,rt_up,0.8258768861236074
p225/p225_035.wav,ref,ps,PVPS,rt_up,0.7490833425363267
p225/p225_021.wav,ref,ps,PVPS,rt_up,0.800492732576047
p225/p225_009.wav,ref,ps,PVPS,rt_up,0.8365865943394332
p225/p225_008.wav,ref,ps,PVPS,rt_up,0.8529418097243228
p225/p225_020.wav,ref,ps,PVPS,rt_up,0.8033368743404743
