file,mode,type,algo,factor,pred_distance
p225/p225_039.wav,ref,tsm,RES,rt_up,0.999999610428226
p225/p225_011.wav,ref,tsm,RES,rt_up,0.9999983342696745
p225/p225_005.wav,ref,tsm,RES,rt_up,0.999999963759279
p225/p225_004.wav,ref,tsm,RES,rt_up,0.9999998305796786
p225/p225_010.wav,ref,tsm,RES,rt_up,0.9999999980690893
p225/p225_038.wav,ref,tsm,RES,rt_up,0.9999999944860678
p225/p225_006.wav,ref,tsm,RES,rt_up,0.9999588238799895
p225/p225_012.wav,ref,tsm,RES,rt_up,0.9999994954863285
p225/p225_013.wav,ref,tsm,RES,rt_up,0.9999999630413141
p225/p225_007.wav,ref,tsm,RES,rt_up,0.9998833167324765
p225/p225_003.wav,ref,tsm,RES,rt_up,0.9999999753304707
p225/p225_017.wav,ref,tsm,RES,rt_up,0.9999999966001688
p225/p225_016.wav,ref,tsm,RES,rt_up,0.9999989596853462
p225/p225_002.wav,ref,tsm,RES,rt_up,0.9999999451891246
p225/p225_014.wav,ref,tsm,RES,rt_up,0.9999993744975013
p225/p225_028.wav,ref,tsm,RES,rt_up,0.9999898904799654
p225/p225_029.wav,ref,tsm,RES,rt_up,0.9993526465998506
p225/p225_001.wav,ref,tsm,RES,rt_up,0.9999999957879678
p225/p225_072.wav,ref,tsm,RES,rt_up,0.9997407081917082
p225/p225_066.wav,ref,tsm,RES,rt_up,0.9996064171754399
p225/p225_067.wav,ref,tsm,RES,rt_up,0.9999999944994272
p225/p225_073.wav,ref,tsm,RES,rt_up,0.9998371404479901
p225/p225_059.wav,ref,tsm,RES,rt_up,0.9995605610518554
p225/p225_065.wav,ref,tsm,RES,rt_up,0.9999999975747818
p225/p225_071.wav,ref,tsm,RES,rt_up,0.9999906758457143
p225/p225_070.wav,ref,tsm,RES,rt_up,0.9999886756898573
p225/p225_064.wav,ref,tsm,RES,rt_up,0.999999991293248
p225/p225_058.wav,ref,tsm,RES,rt_up,0.99999991495398
p225/p225_060.wav,ref,tsm,RES,rt_up,0.9999999942723604
p225/p225_049.wav,ref,tsm,RES,rt_up,0.9999999973871849
p225/p225_061.wav,ref,tsm,RES,rt_up,0.9999998752137068
p225/p225_063.wav,ref,tsm,RES,rt_up,0.9999997327935041
p225/p225_089.wav,ref,tsm,RES,rt_up,0.9999720796909372
p225/p225_062.wav,ref,tsm,RES,rt_up,0.9999998585241001
p225/p225_053.wav,ref,tsm,RES,rt_up,0.9999986961907773
p225/p225_090.wav,ref,tsm,RES,rt_up,0.9999912283995983
p225/p225_084.wav,ref,tsm,RES,rt_up,0.9999960490582211
p225/p225_046.wav,ref,tsm,RES,rt_up,0.9996843209274238
p225/p225_052.wav,ref,tsm,RES,rt_up,0.999815376964254
p225/p225_044.wav,ref,tsm,RES,rt_up,0.9999968763869113
p225/p225_092.wav,ref,tsm,RES,rt_up,0.9997268053031397
p225/p225_086.wav,ref,tsm,RES,rt_up,0.9999975921946188
p225/p225_051.wav,ref,tsm,RES,rt_up,0.9999984321670532
p225/p225_045.wav,ref,tsm,RES,rt_up,0.9999977019485199
p225/p225_082.wav,ref,tsm,RES,rt_up,0.9999999698495358
p225/p225_083.wav,ref,tsm,RES,rt_up,0.9999990095192524
p225/p225_054.wav,ref,tsm,RES,rt_up,0.9999016546263311
p225/p225_040.wav,ref,tsm,RES,rt_up,0.999465866672899
p225/p225_056.wav,ref,tsm,RES,rt_up,0.9999735541552298
p225/p225_081.wav,ref,tsm,RES,rt_up,0.9999993377768067
p225/p225_094.wav,ref,tsm,RES,rt_up,0.9999999969072706
p225/p225_057.wav,ref,tsm,RES,rt_up,0.9999999965103012
p225/p225_018.wav,ref,tsm,RES,rt_up,0.9999999210527863
p225/p225_030.wav,ref,tsm,RES,rt_up,0.9999406761448821
p225/p225_024.wav,ref,tsm,RES,rt_up,0.9999999980800074
p225/p225_025.wav,ref,tsm,RES,rt_up,0.9999920288457158
p225/p225_019.wav,ref,tsm,RES,rt_up,0.9999999962008581
p225/p225_027.wav,ref,tsm,RES,rt_up,0.9999935044543891
p225/p225_033.wav,ref,tsm,RES,rt_up,0.9999999611438106
p225/p225_026.wav,ref,tsm,RES,rt_up,0.9999998019663051
p225/p225_022.wav,ref,tsm,RES,rt_up,0.9999999928237349
p225/p225_036.wav,ref,tsm,RES,rt_up,0.9999159297345753
p225/p225_037.wav,ref,tsm,RES,rt_up,0.9999913812968655
p225/p225_023.wav,ref,tsm,RES,rt_up,0.9999999523634805
p225/p225_035.wav,ref,tsm,RES,rt_up,0.9999221080419107
p225/p225_021.wav,ref,tsm,RES,rt_up,0.9999815963420252
p225/p225_009.wav,ref,tsm,RES,rt_up,0.9999999969049459
p225/p225_008.wav,ref,tsm,RES,rt_up,0.9999998648343719
p225/p225_020.wav,ref,tsm,RES,rt_up,0.9999998353704784
