type,metric,algo,factor,score
tsm,decay_rate,HPS,rt_up,1.462738480827551
tsm,decay_rate,PV,rt_up,2.008568168165953
tsm,decay_rate,TSMNET,rt_up,-0.7691362777902712
tsm,decay_rate,NM,rt_up,2.4803705749386826
tsm,decay_rate,RES,rt_up,0.0072154050142746885
tsm,se_mse,HPS,rt_up,8.412083625793457
tsm,se_mse,PV,rt_up,4.71036434173584
tsm,se_mse,TSMNET,rt_up,1004.1686401367188
tsm,se_mse,NM,rt_up,23.830018997192383
tsm,se_mse,RES,rt_up,6.538338493555784e-05
tsm,decay_rate,HPS,rt_down,1.4498345999645965
tsm,decay_rate,PV,rt_down,1.628948365445457
tsm,decay_rate,TSMNET,rt_down,-0.5617833533164063
tsm,decay_rate,NM,rt_down,1.8733356515156643
tsm,decay_rate,RES,rt_down,0.03674266263727942
tsm,se_mse,HPS,rt_down,38.343563079833984
tsm,se_mse,PV,rt_down,20.667024612426758
tsm,se_mse,TSMNET,rt_down,1106.2979736328125
tsm,se_mse,NM,rt_down,131.7544403076172
tsm,se_mse,RES,rt_down,6.787710299249738e-05
ps,decay_rate,PSOLA,-12,1.4459770908951337
ps,decay_rate,PVPS,-12,3.864018729153415
ps,decay_rate,NMPS,-12,1.8565496283159213
ps,decay_rate,LibrosaPS,-12,1.5640534968854538
ps,se_mse,PSOLA,-12,10.24944019317627
ps,se_mse,PVPS,-12,287.3099060058594
ps,se_mse,NMPS,-12,298.8549499511719
ps,se_mse,LibrosaPS,-12,344.4759521484375
ps,decay_rate,PSOLA,7,0.9718658600284278
ps,decay_rate,PVPS,7,2.9475939400870885
ps,decay_rate,NMPS,7,1.9616302020792782
ps,decay_rate,LibrosaPS,7,1.8025428217067834
ps,se_mse,PSOLA,7,196.5074005126953
ps,se_mse,PVPS,7,52.46383285522461
ps,se_mse,NMPS,7,262.2003173828125
ps,se_mse,LibrosaPS,7,345.0491638183594
ps,decay_rate,PSOLA,12,1.7936252310184406
ps,decay_rate,PVPS,12,2.746836378621739
ps,decay_rate,NMPS,12,2.330890504031982
ps,decay_rate,LibrosaPS,12,2.1675536720172106
ps,se_mse,PSOLA,12,274.3568115234375
ps,se_mse,PVPS,12,105.79239654541016
ps,se_mse,NMPS,12,37.72040939331055
ps,se_mse,LibrosaPS,12,21.87308692932129
ps,decay_rate,PSOLA,rt_up,1.5675135273803749
ps,decay_rate,PVPS,rt_up,2.549024918188716
ps,decay_rate,NMPS,rt_up,1.6516700641752602
ps,decay_rate,LibrosaPS,rt_up,1.3187142738704367
ps,se_mse,PSOLA,rt_up,314.305908203125
ps,se_mse,PVPS,rt_up,131.5810089111328
ps,se_mse,NMPS,rt_up,377.70269775390625
ps,se_mse,LibrosaPS,rt_up,373.2931823730469
ps,decay_rate,PSOLA,rt_down,1.8140954929617108
ps,decay_rate,PVPS,rt_down,1.5811738157520554
ps,decay_rate,NMPS,rt_down,1.6851925993199772
ps,decay_rate,LibrosaPS,rt_down,1.2982618666033297
ps,se_mse,PSOLA,rt_down,336.5904541015625
ps,se_mse,PVPS,rt_down,99.89527893066406
ps,se_mse,NMPS,rt_down,319.84942626953125
ps,se_mse,LibrosaPS,rt_down,373.3861999511719
tsm,decay_rate,HPS,rt_up,1.595451230646702
tsm,decay_rate,PV,rt_up,1.0441657037897019
tsm,decay_rate,TSMNET,rt_up,-0.7222487603727715
tsm,decay_rate,NM,rt_up,1.2201551581984467
tsm,decay_rate,RES,rt_up,0.006815510724228405
tsm,se_mse,HPS,rt_up,12.626139640808105
tsm,se_mse,PV,rt_up,2.3525447845458984
tsm,se_mse,TSMNET,rt_up,544.2937622070312
tsm,se_mse,NM,rt_up,24.251506805419922
tsm,se_mse,RES,rt_up,6.354791548801586e-05
