Type,Metric,Pearson_r,Pearson_p,Spearman_r,Spearman_p
PS,STOI,0.20795273659993652,0.7920472634000635,0.6000000000000001,0.3999999999999999
PS,PESQ,0.9553736933705422,0.04462630662945788,0.7999999999999999,0.20000000000000007
PS,VISQOL,0.9872029557257274,0.01279704427427264,1.0,0.0
PS,SISNR,-0.9116296944892768,0.08837030551072322,-1.0,0.0
PS,NISQA TTS,0.78128414585514,0.21871585414485994,0.7999999999999999,0.20000000000000007
PS,NISQA MOS,0.8965369954526046,0.10346300454739543,0.7999999999999999,0.20000000000000007
PS,NISQA NOISE,0.6646665998016028,0.3353334001983972,0.7999999999999999,0.20000000000000007
PS,NISQA DIST,0.7865153774298517,0.21348462257014833,0.39999999999999997,0.6
PS,NISQA COL,0.6130991557673549,0.38690084423264515,0.39999999999999997,0.6
PS,NISQA LOUD,0.6677096506921071,0.3322903493078928,0.39999999999999997,0.6
PS,AA CE,0.13093832241966072,0.8690616775803393,0.39999999999999997,0.6
PS,AA AU,0.3032880411815747,0.6967119588184252,0.39999999999999997,0.6
PS,AA PC,-0.4676868449818393,0.5323131550181608,-0.19999999999999998,0.8
PS,AA PQ,0.3402512678728681,0.6597487321271318,0.39999999999999997,0.6
TSM,STOI,0.656933766520126,0.228392193861774,0.7999999999999999,0.10408803866182788
TSM,PESQ,0.4620656283300607,0.4333422541324567,0.7999999999999999,0.10408803866182788
TSM,VISQOL,0.28619255911442426,0.640645614768195,0.7999999999999999,0.10408803866182788
TSM,SISNR,-0.1336765548765855,0.8303059942794465,-0.39999999999999997,0.5046315754686911
TSM,NISQA TTS,0.7044575081733147,0.18407975461646178,0.8999999999999998,0.03738607346849875
TSM,NISQA MOS,0.7555008808194382,0.13968290878851305,0.8999999999999998,0.03738607346849875
TSM,NISQA NOISE,0.8824580986661593,0.04751313742492352,0.7,0.18812040437418728
TSM,NISQA DIST,0.6496312336591108,0.235431698790183,0.7999999999999999,0.10408803866182788
TSM,NISQA COL,0.6723594299375392,0.21371805808353916,0.8999999999999998,0.03738607346849875
TSM,NISQA LOUD,0.7157536823198347,0.1739531586612927,0.8999999999999998,0.03738607346849875
TSM,AA CE,0.661705683539743,0.22382404503306924,0.39999999999999997,0.5046315754686911
TSM,AA AU,0.6485793361337728,0.23645051558987457,0.7,0.18812040437418728
TSM,AA PC,-0.1396448977837426,0.8227781713905884,0.3,0.6238376647810728
TSM,AA PQ,0.6477565168887355,0.23724829526238392,0.3,0.6238376647810728
